sku_dc_pair_index,complete_tm,order_amount,test_inv,test_demand,ave_demand,ave_inv,vlt
10,3/2/20,77,"[3.0, 3.0, 3.0, 74.0, 72.0, 68.0, 63.0, 60.0, 49.0, 46.0, 38.0, 33.0, 29.0, 29.0, 22.0, 20.0, 15.0, 12.0, 11.0, -11.0, -11.0, -12.0, -12.0, -12.0, -12.0, -16.0, -18.0, -21.0, -23.0, -25.0]","[0.0, 0.0, 6.0, 2.0, 4.0, 5.0, 3.0, 11.0, 3.0, 8.0, 5.0, 4.0, 0.0, 7.0, 2.0, 5.0, 3.0, 1.0, 22.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0, 2.0, 3.0, 2.0, 2.0, 2.0]",3.566666667,15.9,7 days
11,2/27/20,56,"[52.0, 48.0, 46.0, 44.0, 42.0, 38.0, 35.0, 34.0, 26.0, 25.0, 15.0, 12.0, 12.0, 11.0, 7.0, 6.0, 5.0, 5.0, 3.0, 1.0, 0.0, -2.0, -3.0, -3.0, -4.0, -5.0, -5.0, -6.0, -8.0, -8.0]","[4.0, 2.0, 2.0, 2.0, 4.0, 3.0, 1.0, 8.0, 1.0, 10.0, 3.0, 0.0, 1.0, 4.0, 1.0, 1.0, 0.0, 2.0, 2.0, 1.0, 2.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 2.0, 0.0, 1.0]",2.033333333,14.1,10 days
12,3/2/20,54,"[0.0, 0.0, 0.0, 52.0, 43.0, 39.0, 36.0, 32.0, 26.0, 15.0, 9.0, 2.0, -1.0, -1.0, -3.0, -7.0, -11.0, -13.0, -20.0, -21.0, -21.0, -24.0, -26.0, -26.0, -28.0, -32.0, -34.0, -37.0, -41.0, -48.0]","[0.0, 0.0, 2.0, 9.0, 4.0, 3.0, 4.0, 6.0, 11.0, 6.0, 7.0, 3.0, 0.0, 2.0, 4.0, 4.0, 2.0, 7.0, 1.0, 0.0, 3.0, 2.0, 0.0, 2.0, 4.0, 2.0, 3.0, 4.0, 7.0, 3.0]",3.5,-4.666666667,7 days
13,2/20/20,3,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, -3.0, -7.0, -8.0, -8.0, -8.0, -8.0, -9.0, -9.0, -10.0, -10.0, -10.0, -10.0, -10.0, -11.0, -11.0, -11.0, -12.0, -12.0, -12.0, -12.0, -12.0, -16.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 3.0, 4.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 4.0, 10.0]",0.9,-7.133333333,3 days
14,2/26/20,61,"[50.0, 46.0, 44.0, 39.0, 33.0, 30.0, 26.0, 22.0, 17.0, 13.0, 11.0, 10.0, 4.0, 0.0, -2.0, -4.0, -4.0, -5.0, -7.0, -9.0, -16.0, -17.0, -20.0, -30.0, -31.0, -34.0, -38.0, -39.0, -44.0, -45.0]","[4.0, 2.0, 5.0, 6.0, 3.0, 4.0, 4.0, 5.0, 4.0, 2.0, 1.0, 6.0, 4.0, 2.0, 2.0, 0.0, 1.0, 2.0, 2.0, 7.0, 1.0, 3.0, 10.0, 1.0, 3.0, 4.0, 1.0, 5.0, 1.0, 1.0]",3.2,0,9 days
15,3/5/20,120,"[20.0, 18.0, 16.0, 8.0, 5.0, 4.0, 121.0, 119.0, 115.0, 109.0, 107.0, 104.0, 104.0, 100.0, 95.0, 92.0, 88.0, 87.0, 85.0, 84.0, 83.0, 83.0, 81.0, 75.0, 68.0, 67.0, 65.0, 63.0, 62.0, 56.0]","[2.0, 2.0, 8.0, 3.0, 1.0, 3.0, 2.0, 4.0, 6.0, 2.0, 3.0, 0.0, 4.0, 5.0, 3.0, 4.0, 1.0, 2.0, 1.0, 1.0, 0.0, 2.0, 6.0, 7.0, 1.0, 2.0, 2.0, 1.0, 6.0, 3.0]",2.9,72.8,17 days
16,2/21/20,57,"[57.0, 57.0, 57.0, 51.0, 49.0, 48.0, 46.0, 40.0, 35.0, 31.0, 30.0, 29.0, 28.0, 27.0, 24.0, 20.0, 18.0, 17.0, 16.0, 10.0, 10.0, 4.0, -1.0, -2.0, -5.0, -8.0, -12.0, -12.0, -22.0, -24.0]","[0.0, 0.0, 6.0, 2.0, 1.0, 2.0, 6.0, 5.0, 4.0, 1.0, 1.0, 1.0, 1.0, 3.0, 4.0, 2.0, 1.0, 1.0, 6.0, 0.0, 6.0, 5.0, 1.0, 3.0, 3.0, 4.0, 0.0, 10.0, 2.0, 0.0]",2.7,20.6,4 days
17,2/26/20,23,"[21.0, 18.0, 17.0, 16.0, 16.0, 16.0, 16.0, 15.0, 11.0, 11.0, 11.0, 11.0, 10.0, 9.0, 9.0, 8.0, 7.0, -2.0, -2.0, -2.0, -3.0, -3.0, -3.0, -4.0, -4.0, -5.0, -5.0, -5.0, -5.0, -5.0]","[3.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 4.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 9.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.866666667,5.8,9 days
18,2/26/20,3,"[3.0, 2.0, 1.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, -2.0, -2.0, -2.0, -5.0, -5.0, -6.0, -6.0, -8.0, -8.0, -8.0, -8.0, -9.0, -9.0, -9.0, -11.0, -11.0, -11.0, -11.0, -11.0, -12.0, -12.0]","[1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 3.0, 0.0, 1.0, 0.0, 2.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 2.0]",0.566666667,-5.5,9 days
19,3/3/20,22,"[-1.0, -1.0, -1.0, -1.0, 21.0, 20.0, 15.0, 10.0, 8.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 6.0, 6.0, 2.0, 1.0, -7.0, -8.0, -13.0, -18.0, -19.0, -20.0, -20.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 5.0, 5.0, 2.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 4.0, 1.0, 8.0, 1.0, 5.0, 5.0, 1.0, 1.0, 0.0, 3.0]",1.466666667,1.666666667,15 days
20,3/3/20,24,"[1.0, 1.0, 1.0, 1.0, 25.0, 24.0, 19.0, 18.0, 13.0, 7.0, 6.0, 2.0, -1.0, -3.0, -5.0, -6.0, -7.0, -10.0, -13.0, -17.0, -21.0, -23.0, -23.0, -25.0, -30.0, -33.0, -35.0, -35.0, -35.0, -35.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 5.0, 1.0, 5.0, 6.0, 1.0, 4.0, 3.0, 2.0, 2.0, 1.0, 1.0, 3.0, 3.0, 4.0, 4.0, 2.0, 0.0, 2.0, 5.0, 3.0, 2.0, 0.0, 0.0, 0.0, 2.0]",2.066666667,-7.966666667,15 days
21,2/26/20,17,"[9.0, 8.0, 6.0, 5.0, 4.0, 4.0, 3.0, 3.0, 3.0, 2.0, 1.0, -1.0, -2.0, -2.0, -2.0, -3.0, -5.0, -8.0, -9.0, -9.0, -9.0, -10.0, -11.0, -13.0, -14.0, -15.0, -15.0, -15.0, -15.0, -18.0]","[1.0, 2.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 2.0, 1.0, 0.0, 0.0, 1.0, 2.0, 3.0, 1.0, 0.0, 0.0, 1.0, 1.0, 2.0, 1.0, 1.0, 0.0, 0.0, 0.0, 3.0, 0.0]",0.9,-4.266666667,9 days
22,2/27/20,42,"[32.0, 32.0, 32.0, 32.0, 32.0, 31.0, 25.0, 24.0, 20.0, 16.0, 12.0, 4.0, -4.0, -5.0, -7.0, -7.0, -7.0, -8.0, -10.0, -16.0, -19.0, -22.0, -26.0, -29.0, -31.0, -34.0, -40.0, -45.0, -47.0, -47.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 6.0, 1.0, 4.0, 4.0, 4.0, 8.0, 8.0, 1.0, 2.0, 0.0, 0.0, 1.0, 2.0, 6.0, 3.0, 3.0, 4.0, 3.0, 2.0, 3.0, 6.0, 5.0, 2.0, 0.0, 3.0]",2.733333333,-3.733333333,10 days
23,2/29/20,57,"[14.0, 71.0, 68.0, 65.0, 60.0, 58.0, 51.0, 48.0, 44.0, 43.0, 43.0, 43.0, 42.0, 38.0, 36.0, 35.0, 34.0, 34.0, 33.0, 31.0, 29.0, 27.0, 24.0, 22.0, 19.0, 17.0, 17.0, 16.0, 16.0, 13.0]","[0.0, 3.0, 3.0, 5.0, 2.0, 7.0, 3.0, 4.0, 1.0, 0.0, 0.0, 1.0, 4.0, 2.0, 1.0, 1.0, 0.0, 1.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 2.0, 0.0, 1.0, 0.0, 3.0, 1.0]",1.966666667,36.36666667,10 days
24,3/5/20,30,"[2.0, -3.0, -4.0, -4.0, -4.0, -4.0, 25.0, 25.0, 25.0, 25.0, 24.0, 24.0, 24.0, 24.0, 23.0, 23.0, 22.0, 18.0, 17.0, 16.0, 9.0, 9.0, 7.0, 7.0, 6.0, 5.0, 3.0, 2.0, 2.0, 2.0]","[5.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 4.0, 1.0, 1.0, 7.0, 0.0, 2.0, 0.0, 1.0, 1.0, 2.0, 1.0, 0.0, 0.0, 0.0]",1,11.66666667,15 days
25,2/28/20,127,"[147.0, 146.0, 145.0, 141.0, 140.0, 140.0, 109.0, 106.0, 104.0, 100.0, 97.0, 95.0, 94.0, 94.0, 87.0, 85.0, 66.0, 65.0, 52.0, 50.0, 48.0, 47.0, 45.0, 44.0, 42.0, 41.0, 37.0, 32.0, 28.0, 26.0]","[1.0, 1.0, 4.0, 1.0, 0.0, 31.0, 3.0, 2.0, 4.0, 3.0, 2.0, 1.0, 0.0, 7.0, 2.0, 19.0, 1.0, 13.0, 2.0, 2.0, 1.0, 2.0, 1.0, 2.0, 1.0, 4.0, 5.0, 4.0, 2.0, 15.0]",4.533333333,81.76666667,12 days
26,2/26/20,65,"[65.0, 64.0, 59.0, 55.0, 51.0, 45.0, 43.0, 39.0, 28.0, 22.0, 18.0, 9.0, 3.0, -5.0, -7.0, -7.0, -7.0, -7.0, -7.0, -8.0, -11.0, -14.0, -15.0, -17.0, -22.0, -27.0, -50.0, -50.0, -51.0, -51.0]","[1.0, 5.0, 4.0, 4.0, 6.0, 2.0, 4.0, 11.0, 6.0, 4.0, 9.0, 6.0, 8.0, 2.0, 0.0, 0.0, 0.0, 0.0, 1.0, 3.0, 3.0, 1.0, 2.0, 5.0, 5.0, 23.0, 0.0, 1.0, 0.0, 1.0]",3.9,4.833333333,9 days
27,3/6/20,93,"[17.0, 17.0, 17.0, 17.0, 17.0, 17.0, 17.0, 108.0, 104.0, 100.0, 93.0, 89.0, 79.0, 70.0, 68.0, 67.0, 61.0, 55.0, 53.0, 51.0, 50.0, 47.0, 46.0, 44.0, 40.0, 34.0, 30.0, 27.0, 25.0, 22.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 4.0, 4.0, 7.0, 4.0, 10.0, 9.0, 2.0, 1.0, 6.0, 6.0, 2.0, 2.0, 1.0, 3.0, 1.0, 2.0, 4.0, 6.0, 4.0, 3.0, 2.0, 3.0, 4.0]",3.066666667,49.4,11 days
28,3/4/20,77,"[-3.0, -8.0, -11.0, -21.0, -26.0, 45.0, 41.0, 38.0, 26.0, 18.0, 14.0, 11.0, 8.0, 7.0, 3.0, 0.0, -5.0, -7.0, -11.0, -19.0, -19.0, -19.0, -19.0, -19.0, -19.0, -19.0, -20.0, -24.0, -30.0, -34.0]","[5.0, 3.0, 10.0, 5.0, 6.0, 4.0, 3.0, 12.0, 8.0, 4.0, 3.0, 3.0, 1.0, 4.0, 3.0, 5.0, 2.0, 4.0, 8.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 4.0, 6.0, 4.0, 9.0]",3.9,-4.066666667,9 days
29,2/21/20,67,"[70.0, 65.0, 57.0, 55.0, 55.0, 51.0, 46.0, 44.0, 41.0, 39.0, 38.0, 36.0, 33.0, 31.0, 27.0, 24.0, 16.0, 11.0, 10.0, 8.0, 4.0, -10.0, -10.0, -13.0, -15.0, -20.0, -21.0, -24.0, -25.0, -31.0]","[5.0, 8.0, 2.0, 0.0, 4.0, 5.0, 2.0, 3.0, 2.0, 1.0, 2.0, 3.0, 2.0, 4.0, 3.0, 8.0, 5.0, 1.0, 2.0, 4.0, 14.0, 0.0, 3.0, 2.0, 5.0, 1.0, 3.0, 1.0, 6.0, 0.0]",3.366666667,19.73333333,11 days
30,2/29/20,40,"[-2.0, 35.0, 33.0, 31.0, 26.0, 23.0, 22.0, 19.0, 14.0, 14.0, 12.0, 8.0, 7.0, 7.0, 7.0, 4.0, 4.0, 0.0, 0.0, -3.0, -4.0, -9.0, -12.0, -16.0, -21.0, -22.0, -23.0, -27.0, -28.0, -29.0]","[3.0, 2.0, 2.0, 5.0, 3.0, 1.0, 3.0, 5.0, 0.0, 2.0, 4.0, 1.0, 0.0, 0.0, 3.0, 0.0, 4.0, 0.0, 3.0, 1.0, 5.0, 3.0, 4.0, 5.0, 1.0, 1.0, 4.0, 1.0, 1.0, 1.0]",2.266666667,2.333333333,5 days
31,2/21/20,87,"[48.0, 48.0, 48.0, 48.0, 48.0, 48.0, 44.0, 40.0, 35.0, 35.0, 32.0, 30.0, 27.0, 25.0, 22.0, 20.0, 17.0, 16.0, 2.0, -3.0, -7.0, -8.0, -9.0, -9.0, -12.0, -12.0, -14.0, -14.0, -20.0, -24.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 4.0, 4.0, 5.0, 0.0, 3.0, 2.0, 3.0, 2.0, 3.0, 2.0, 3.0, 1.0, 14.0, 5.0, 4.0, 1.0, 1.0, 0.0, 3.0, 0.0, 2.0, 0.0, 6.0, 4.0, 3.0]",2.5,16.7,11 days
32,2/29/20,76,"[0.0, 65.0, 64.0, 60.0, 57.0, 55.0, 50.0, 48.0, 39.0, 35.0, 33.0, 31.0, 28.0, 28.0, 25.0, 21.0, 15.0, 15.0, 13.0, 10.0, 8.0, 3.0, -2.0, -7.0, -8.0, -12.0, -17.0, -21.0, -23.0, -26.0]","[11.0, 1.0, 4.0, 3.0, 2.0, 5.0, 2.0, 9.0, 4.0, 2.0, 2.0, 3.0, 0.0, 3.0, 4.0, 6.0, 0.0, 2.0, 3.0, 2.0, 5.0, 5.0, 5.0, 1.0, 4.0, 5.0, 4.0, 2.0, 3.0, 5.0]",3.566666667,19.56666667,5 days
33,2/28/20,39,"[29.0, 29.0, 28.0, 25.0, 19.0, 19.0, 17.0, 14.0, 14.0, 11.0, 7.0, 5.0, 4.0, 4.0, -5.0, -5.0, -6.0, -6.0, -7.0, -8.0, -8.0, -10.0, -12.0, -12.0, -12.0, -15.0, -16.0, -23.0, -30.0, -30.0]","[0.0, 1.0, 3.0, 6.0, 0.0, 2.0, 3.0, 0.0, 3.0, 4.0, 2.0, 1.0, 0.0, 9.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 2.0, 2.0, 0.0, 0.0, 3.0, 1.0, 7.0, 7.0, 0.0, 5.0]",2.133333333,0.666666667,11 days
34,3/6/20,34,"[10.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 42.0, 40.0, 40.0, 40.0, 39.0, 39.0, 39.0, 39.0, 39.0, 39.0, 39.0, 39.0, 39.0, 37.0, 37.0, 32.0, 31.0, 31.0, 31.0, 30.0, 28.0, 28.0, 28.0]","[2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 5.0, 1.0, 0.0, 0.0, 1.0, 2.0, 0.0, 0.0, 0.0]",0.533333333,29.46666667,11 days
35,2/26/20,25,"[5.0, 3.0, 3.0, 3.0, 3.0, -2.0, -2.0, -2.0, -2.0, -2.0, -2.0, -2.0, -2.0, -2.0, -2.0, -2.0, -2.0, -5.0, -10.0, -12.0, -12.0, -13.0, -13.0, -13.0, -17.0, -19.0, -19.0, -26.0, -28.0, -28.0]","[2.0, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.0, 5.0, 2.0, 0.0, 1.0, 0.0, 0.0, 4.0, 2.0, 0.0, 7.0, 2.0, 0.0, 0.0]",1.1,-7.4,9 days
36,2/21/20,69,"[48.0, 46.0, 44.0, 42.0, 41.0, 37.0, 37.0, 33.0, 31.0, 29.0, 29.0, 29.0, 25.0, 20.0, 16.0, 16.0, 12.0, 12.0, 6.0, 4.0, 4.0, 2.0, 2.0, 2.0, -2.0, -2.0, -6.0, -10.0, -12.0, -16.0]","[2.0, 2.0, 2.0, 1.0, 4.0, 0.0, 4.0, 2.0, 2.0, 0.0, 0.0, 4.0, 5.0, 4.0, 0.0, 4.0, 0.0, 6.0, 2.0, 0.0, 2.0, 0.0, 0.0, 4.0, 0.0, 4.0, 4.0, 2.0, 4.0, 0.0]",2.133333333,17.3,11 days
37,2/28/20,43,"[44.0, 44.0, 44.0, 44.0, 44.0, 38.0, 28.0, 26.0, 20.0, 2.0, -3.0, -3.0, -5.0, -5.0, -5.0, -5.0, -7.0, -7.0, -7.0, -7.0, -7.0, -7.0, -7.0, -7.0, -7.0, -7.0, -9.0, -13.0, -15.0, -16.0]","[0.0, 0.0, 0.0, 0.0, 6.0, 10.0, 2.0, 6.0, 18.0, 5.0, 0.0, 2.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 4.0, 2.0, 1.0, 5.0]",2.166666667,6.166666667,11 days
38,2/19/20,58,"[34.0, 34.0, 34.0, 34.0, 34.0, 26.0, 16.0, 16.0, 12.0, 12.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 3.0, 1.0, -5.0, -12.0, -12.0, -13.0, -13.0]","[0.0, 0.0, 0.0, 0.0, 8.0, 10.0, 0.0, 4.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.0, 2.0, 6.0, 7.0, 0.0, 1.0, 0.0, 0.0]",1.566666667,11.03333333,9 days
39,2/28/20,87,"[89.0, 89.0, 87.0, 87.0, 84.0, 80.0, 74.0, 54.0, 39.0, 29.0, 27.0, 27.0, 26.0, 26.0, 25.0, 23.0, 23.0, 21.0, 21.0, 18.0, 14.0, 9.0, 7.0, -25.0, -40.0, -42.0, -42.0, -42.0, -43.0, -44.0]","[0.0, 2.0, 0.0, 3.0, 4.0, 6.0, 20.0, 15.0, 10.0, 2.0, 0.0, 1.0, 0.0, 1.0, 2.0, 0.0, 2.0, 0.0, 3.0, 4.0, 5.0, 2.0, 32.0, 15.0, 2.0, 0.0, 0.0, 1.0, 1.0, 2.0]",4.5,23.36666667,9 days
40,3/5/20,146,"[2.0, 2.0, -42.0, -44.0, -44.0, -44.0, 102.0, 102.0, 102.0, 102.0, 102.0, 102.0, 102.0, 102.0, 102.0, 102.0, 102.0, 102.0, 102.0, 102.0, 102.0, 102.0, 102.0, 100.0, 85.0, 77.0, 72.0, 68.0, 67.0, 58.0]","[0.0, 44.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 15.0, 8.0, 5.0, 4.0, 1.0, 9.0, 3.0]",3.1,69.7,15 days
41,2/26/20,142,"[114.0, 98.0, 83.0, 72.0, 59.0, 53.0, 35.0, 30.0, 27.0, 21.0, 18.0, 14.0, 8.0, 3.0, -3.0, -4.0, -7.0, -8.0, -8.0, -8.0, -8.0, -8.0, -8.0, -8.0, -8.0, -8.0, -8.0, -8.0, -8.0, -8.0]","[16.0, 15.0, 11.0, 13.0, 6.0, 18.0, 5.0, 3.0, 6.0, 3.0, 4.0, 6.0, 5.0, 6.0, 1.0, 3.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",4.1,17.23333333,9 days
