sku_dc_pair_index,complete_tm,order_amount,test_inv,test_demand,ave_demand,ave_inv,vlt,vlt_num
10,4/7/20,62,"[58, 58.0, 57.0, 54.0, 54.0, 53.0, 53.0, 53.0, 52.0, 114.0, 113.0, 109.0, 105.0, 105.0, 100.0, 100.0, 100.0, 98.0, 92.0, 92.0, 89.0, 87.0, 85.0, 82.0, 82.0, 82.0, 75.0, 72.0, 71.0, 69.0, 69.0, 24.0]","[0.0, 1.0, 3.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 4.0, 4.0, 0.0, 5.0, 0.0, 0.0, 2.0, 6.0, 0.0, 3.0, 2.0, 2.0, 3.0, 0.0, 0.0, 7.0, 3.0, 1.0, 2.0, 0.0, 45.0]",3.096774194,78.34375,8 days,8
11,4/7/20,59,"[53.0, 51.0, 51.0, 48.0, 46.0, 44.0, 36.0, 33.0, 31.0, 90.0, 90.0, 90.0, 88.0, 86.0, 86.0, 86.0, 86.0, 86.0, 86.0, 86.0, 86.0, 86.0, 86.0, 84.0, 84.0, 84.0, 84.0, 84.0, 84.0, 84.0, 84.0, 82.0]","[2.0, 0.0, 3.0, 2.0, 2.0, 8.0, 3.0, 2.0, 0.0, 0.0, 0.0, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0]",0.967741935,73.90625,9 days,9
12,4/1/20,92,"[6.0, 3.0, 1.0, 90.0, 87.0, 80.0, 78.0, 77.0, 76.0, 74.0, 70.0, 67.0, 67.0, 67.0, 65.0, 63.0, 63.0, 61.0, 61.0, 61.0, 55.0, 54.0, 50.0, 45.0, 45.0, 43.0, 41.0, 36.0, 35.0, 33.0, 29.0, 27.0]","[3.0, 2.0, 3.0, 3.0, 7.0, 2.0, 1.0, 1.0, 2.0, 4.0, 3.0, 0.0, 0.0, 2.0, 2.0, 0.0, 2.0, 0.0, 0.0, 6.0, 1.0, 4.0, 5.0, 0.0, 2.0, 2.0, 5.0, 1.0, 2.0, 4.0, 2.0]",2.290322581,53.4375,3 days,3
13,4/5/20,11,"[0, 0.0, -9.0, -9.0, -9.0, -9.0, -9.0, -7.0, -7.0, -10.0, -10.0, -10.0, -10.0, -10.0, -13.0, -24.0, -32.0, -34.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -36.0, -50.0, -72.0, -76.0, -78.0]","[0.0, 9.0, 0.0, 0.0, 0.0, 0.0, 9.0, 0.0, 3.0, 0.0, 0.0, 0.0, 0.0, 3.0, 11.0, 8.0, 2.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 14.0, 22.0, 4.0, 2.0]",2.870967742,-26.21875,6 days,6
14,4/3/20,57,"[-4.0, -6.0]","[2.0, 2.0]",2,-5,2 days,2
15,3/31/20,86,"[52.0, 52.0, 126.0, 118.0, 118.0, 109.0, 109.0, 109.0, 79.0, 79.0, 75.0, 75.0, 75.0, 75.0, 70.0, 70.0, 70.0, 70.0, 67.0, 65.0, 61.0, 61.0, 59.0, 55.0, 55.0, 53.0, 51.0, 51.0, 49.0, 47.0, 47.0, 47.0]","[0.0, 12.0, 8.0, 0.0, 9.0, 0.0, 0.0, 30.0, 0.0, 4.0, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 3.0, 2.0, 4.0, 0.0, 2.0, 4.0, 0.0, 2.0, 2.0, 0.0, 2.0, 2.0, 0.0, 0.0]",2.935483871,71.84375,4 days,4
16,3/30/20,110,"[0.0, 110.0, 110.0, 110.0, 110.0, 110.0, 110.0, 110.0, 110.0, 110.0, 110.0, 110.0, 110.0, 92.0, 89.0, 89.0, 80.0, 67.0, 67.0, 64.0, 58.0, 44.0, 30.0, 20.0, 17.0, 11.0, 5.0, 2.0, -4.0, -7.0, -8.0, -11.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 18.0, 3.0, 0.0, 9.0, 13.0, 0.0, 3.0, 6.0, 14.0, 14.0, 10.0, 3.0, 6.0, 6.0, 3.0, 6.0, 3.0, 1.0, 3.0]",3.903225806,63.28125,8 days,8
17,4/13/20,43,[-11.0],[1.0],1,-11,13 days,13
18,4/8/20,7,"[5.0, 4.0, -8.0, -10.0]","[0.0, 1.0, 12.0, 2.0]",3.75,-2.25,5 days,5
19,4/11/20,130,"[82.0, 73.0, 72.0, 72.0, 72.0]","[9.0, 9.0, 1.0, 0.0, 0.0]",3.8,74.2,7 days,7
20,3/30/20,65,"[32.0, 96.0, 96.0, 92.0, 92.0, 90.0, 89.0, 85.0, 79.0, 73.0, 67.0, 61.0, 61.0, 59.0, 55.0, 51.0, 48.0, 44.0, 38.0, 37.0, 24.0, 16.0, -29.0, -30.0, -35.0, -36.0, -40.0, -41.0, -41.0, -41.0, -42.0, -44.0]","[1.0, 0.0, 4.0, 0.0, 2.0, 1.0, 4.0, 6.0, 6.0, 6.0, 6.0, 0.0, 2.0, 4.0, 4.0, 3.0, 4.0, 6.0, 1.0, 13.0, 8.0, 45.0, 1.0, 5.0, 1.0, 4.0, 1.0, 0.0, 0.0, 1.0, 2.0]",4.548387097,31.4375,4 days,4
21,3/30/20,65,"[32.0, 96.0, 96.0, 92.0, 92.0, 90.0, 89.0, 85.0, 79.0, 73.0, 67.0, 61.0, 61.0, 59.0, 55.0, 51.0, 48.0, 44.0, 38.0, 37.0, 24.0, 16.0, -29.0, -30.0, -35.0, -36.0, -40.0, -41.0, -41.0, -41.0, -42.0, -44.0]","[1.0, 0.0, 4.0, 0.0, 2.0, 1.0, 4.0, 6.0, 6.0, 6.0, 6.0, 0.0, 2.0, 4.0, 4.0, 3.0, 4.0, 6.0, 1.0, 13.0, 8.0, 45.0, 1.0, 5.0, 1.0, 4.0, 1.0, 0.0, 0.0, 1.0, 2.0]",4.548387097,31.4375,4 days,4
22,4/5/20,104,"[68, 60.0, 52.0, 44.0, 36.0, 31.0, 27.0, 129.0, 127.0, 125.0, 124.0, 123.0, 116.0, 112.0, 110.0, 104.0, 100.0, 97.0, 94.0, 92.0, 87.0, 85.0, 81.0, 77.0, 74.0, 74.0, 70.0, 68.0, 62.0, 59.0, 55.0, 50.0]","[8.0, 8.0, 8.0, 8.0, 5.0, 4.0, 2.0, 2.0, 2.0, 1.0, 1.0, 7.0, 4.0, 2.0, 6.0, 4.0, 3.0, 3.0, 2.0, 5.0, 2.0, 4.0, 4.0, 3.0, 0.0, 4.0, 2.0, 6.0, 3.0, 4.0, 5.0]",3.935483871,81.65625,6 days,6
23,3/30/20,93,"[19.0, 110.0, 106.0, 102.0, 100.0, 93.0, 75.0, 64.0, 55.0, 51.0, 47.0, 43.0, 34.0, 26.0, 24.0, 24.0, 22.0, 16.0, 16.0, 16.0, 14.0, 12.0, 7.0, 7.0, 3.0, 3.0, 3.0, 1.0, 0.0, -6.0, -14.0, -18.0]","[2.0, 4.0, 4.0, 2.0, 7.0, 18.0, 11.0, 9.0, 4.0, 4.0, 4.0, 9.0, 8.0, 2.0, 0.0, 2.0, 6.0, 0.0, 0.0, 2.0, 2.0, 5.0, 0.0, 4.0, 0.0, 0.0, 2.0, 1.0, 6.0, 8.0, 4.0]",4.193548387,32.96875,4 days,4
24,4/1/20,55,"[23.0, 22.0, 16.0, 67.0, 63.0, 59.0, 57.0, 55.0, 55.0, 51.0, 49.0, 47.0, 40.0, 40.0, 35.0, 35.0, 27.0, 22.0, 22.0, 18.0, 18.0, 16.0, 11.0, 11.0, 11.0, 10.0, 6.0, 3.0, 0.0, -4.0, -4.0, -4.0]","[1.0, 6.0, 4.0, 4.0, 4.0, 2.0, 2.0, 0.0, 4.0, 2.0, 2.0, 7.0, 0.0, 5.0, 0.0, 8.0, 5.0, 0.0, 4.0, 0.0, 2.0, 5.0, 0.0, 0.0, 1.0, 4.0, 3.0, 3.0, 4.0, 0.0, 0.0]",2.64516129,27.40625,6 days,6
25,4/2/20,98,"[26, 17.0, 15.0, 13.0, 105.0, 97.0, 95.0, 91.0, 89.0, 77.0, 71.0, 69.0, 67.0, 56.0, 50.0, 46.0, 46.0, 46.0, 44.0, 40.0, 33.0, 33.0, 26.0, 16.0, -3.0, -5.0, -10.0, -11.0, -12.0, -15.0, -15.0, -23.0]","[9.0, 2.0, 2.0, 6.0, 8.0, 2.0, 4.0, 2.0, 12.0, 6.0, 2.0, 2.0, 11.0, 6.0, 4.0, 0.0, 0.0, 2.0, 4.0, 7.0, 0.0, 7.0, 10.0, 19.0, 2.0, 5.0, 1.0, 1.0, 3.0, 0.0, 8.0]",4.741935484,36.6875,3 days,3
26,4/5/20,72,"[29, 25.0, 22.0, 17.0, 14.0, 11.0, 8.0, 78.0, 72.0, 53.0, 49.0, 46.0, 44.0, 40.0, 37.0, 36.0, 30.0, 27.0, 23.0, 21.0, 17.0, 12.0, 6.0, 2.0, -2.0, -8.0, -13.0, -15.0, -16.0, -22.0, -27.0, -31.0]","[4.0, 3.0, 5.0, 3.0, 3.0, 3.0, 2.0, 6.0, 19.0, 4.0, 3.0, 2.0, 4.0, 3.0, 1.0, 6.0, 3.0, 4.0, 2.0, 4.0, 5.0, 6.0, 4.0, 4.0, 6.0, 5.0, 2.0, 1.0, 6.0, 5.0, 4.0]",4.258064516,18.28125,6 days,6
27,3/30/20,30,"[18.0, 46.0, 44.0, 41.0, 40.0, 40.0, 36.0, 33.0, 29.0, 27.0, 25.0, 22.0, 12.0, 12.0, 11.0, 11.0, 8.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 4.0, -1.0, -3.0, -4.0, -6.0, -9.0, -11.0, -12.0, -15.0]","[2.0, 2.0, 3.0, 1.0, 0.0, 4.0, 3.0, 4.0, 2.0, 2.0, 3.0, 10.0, 0.0, 1.0, 0.0, 3.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 5.0, 2.0, 1.0, 2.0, 3.0, 2.0, 1.0, 3.0]",2.032258065,13.5625,4 days,4
28,4/4/20,66,"[37, 37.0, 37.0, 34.0, 29.0, 29.0, 95.0, 85.0, 85.0, 85.0, 85.0, 83.0, 79.0, 79.0, 79.0, 79.0, 79.0, 79.0, 79.0, 79.0, 79.0, 79.0, 76.0, 73.0, 73.0, 67.0, 67.0, 67.0, 64.0, 64.0, 64.0, 64.0]","[0.0, 0.0, 3.0, 5.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 2.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.0, 3.0, 0.0, 6.0, 0.0, 0.0, 3.0, 0.0, 0.0, 0.0]",1.258064516,68.4375,5 days,5
29,4/9/20,59,"[1.0, 0.0, -3.0, -3.0, -5.0, -5.0, -8.0, -13.0, -17.0, -23.0, -23.0, 35.0, 31.0, 30.0, 29.0, 25.0, 19.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 13.0, 12.0, 11.0, 11.0, 10.0, 10.0, 10.0, 9.0, 4.0]","[1.0, 3.0, 0.0, 2.0, 0.0, 3.0, 5.0, 4.0, 6.0, 0.0, 1.0, 4.0, 1.0, 1.0, 4.0, 6.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 5.0]",1.806451613,8.375,15 days,15
30,4/6/20,45,"[10.0, 10.0, 9.0, 5.0, 5.0, 2.0, 0.0, -7.0, 38.0, 38.0, 38.0, 36.0, 30.0, 30.0, 29.0, 28.0, 28.0, 27.0, 22.0, 22.0, 16.0, 15.0, 15.0, 15.0, 15.0, 15.0, 14.0, 12.0, 10.0, -1.0, -2.0, -2.0]","[0.0, 1.0, 4.0, 0.0, 3.0, 2.0, 7.0, 0.0, 0.0, 0.0, 2.0, 6.0, 0.0, 1.0, 1.0, 0.0, 1.0, 5.0, 0.0, 6.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 2.0, 11.0, 1.0, 0.0]",1.838709677,16.3125,11 days,11
31,4/7/20,87,"[-13.0, -16.0, -19.0, -24.0, -26.0, -27.0, -32.0, -32.0, -34.0, 50.0, 49.0, 46.0, 43.0, 40.0, 39.0, 37.0, 32.0, 29.0, 25.0, 22.0, 21.0, 20.0, 19.0, 15.0, 13.0, 11.0, 10.0, 7.0, -2.0, -8.0, -9.0, -11.0]","[3.0, 3.0, 5.0, 2.0, 1.0, 5.0, 0.0, 2.0, 3.0, 1.0, 3.0, 3.0, 3.0, 1.0, 2.0, 5.0, 3.0, 4.0, 3.0, 1.0, 1.0, 1.0, 4.0, 2.0, 2.0, 1.0, 3.0, 9.0, 6.0, 1.0, 2.0]",2.741935484,8.59375,30 days,30
32,3/31/20,181,"[0.0, 0.0, 180.0, 180.0, 180.0, 180.0, 167.0, 160.0, 146.0, 146.0, 145.0, 145.0, 142.0, 139.0, 138.0, 132.0, 130.0, 119.0, 91.0, 84.0, 78.0, 74.0, 73.0, 61.0, 56.0, 53.0, 52.0, 50.0, 46.0, 43.0, 39.0, 31.0]","[0.0, 1.0, 0.0, 0.0, 0.0, 13.0, 7.0, 14.0, 0.0, 1.0, 0.0, 3.0, 3.0, 1.0, 6.0, 2.0, 11.0, 28.0, 7.0, 6.0, 4.0, 1.0, 12.0, 5.0, 3.0, 1.0, 2.0, 4.0, 3.0, 4.0, 8.0]",4.838709677,101.875,3 days,3
33,4/7/20,104,"[40.0, 36.0, 33.0, 31.0, 29.0, 27.0, 26.0, 22.0, 20.0, 121.0, 120.0, 118.0, 116.0, 116.0, 116.0, 116.0, 115.0, 113.0, 107.0, 105.0, 104.0, 100.0, 97.0, 93.0, 92.0, 91.0, 90.0, 89.0, 88.0, 85.0, 83.0, 82.0]","[4.0, 3.0, 2.0, 2.0, 2.0, 1.0, 4.0, 2.0, 3.0, 1.0, 2.0, 2.0, 0.0, 0.0, 0.0, 1.0, 2.0, 6.0, 2.0, 1.0, 4.0, 3.0, 4.0, 1.0, 1.0, 1.0, 1.0, 1.0, 3.0, 2.0, 1.0]",2,81.90625,30 days,30
34,4/11/20,30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 30.0, 28.0, 26.0, 26.0, 25.0, 25.0, 24.0, 24.0, 23.0, 23.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 14.0, 14.0, 13.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 7.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 1.0]",0.548387097,12.21875,20 days,20
35,4/6/20,55,"[27, 25.0, 25.0, 21.0, 17.0, 17.0, 15.0, 15.0, 70.0, 66.0, 66.0, 64.0, 64.0, 64.0, 64.0, 64.0, 60.0, 58.0, 58.0, 58.0, 51.0, 47.0, 45.0, 45.0, 43.0, 43.0, 43.0, 41.0, 41.0, 39.0, 39.0, 35.0]","[2.0, 0.0, 4.0, 4.0, 0.0, 2.0, 0.0, 0.0, 4.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 4.0, 2.0, 0.0, 0.0, 7.0, 4.0, 2.0, 0.0, 2.0, 0.0, 0.0, 2.0, 0.0, 2.0, 0.0, 4.0]",1.516129032,44.6875,7 days,7
36,4/6/20,55,"[27, 25.0, 25.0, 21.0, 17.0, 17.0, 15.0, 15.0, 70.0, 66.0, 66.0, 64.0, 64.0, 64.0, 64.0, 64.0, 60.0, 58.0, 58.0, 58.0, 51.0, 47.0, 45.0, 45.0, 43.0, 43.0, 43.0, 41.0, 41.0, 39.0, 39.0, 35.0]","[2.0, 0.0, 4.0, 4.0, 0.0, 2.0, 0.0, 0.0, 4.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 4.0, 2.0, 0.0, 0.0, 7.0, 4.0, 2.0, 0.0, 2.0, 0.0, 0.0, 2.0, 0.0, 2.0, 0.0, 4.0]",1.516129032,44.6875,7 days,7
37,3/31/20,61,"[-16.0, -22.0, 35.0, 31.0, 29.0, 27.0, 23.0, 16.0, 14.0, 10.0, 8.0, -1.0, -1.0, -8.0, -14.0, -16.0, -16.0, -23.0, -23.0, -24.0, -28.0, -28.0, -28.0, -30.0, -39.0, -42.0, -42.0, -44.0, -47.0, -49.0, -58.0, -58.0]","[6.0, 4.0, 4.0, 2.0, 2.0, 4.0, 7.0, 2.0, 4.0, 2.0, 9.0, 0.0, 7.0, 6.0, 2.0, 0.0, 7.0, 0.0, 1.0, 4.0, 0.0, 0.0, 2.0, 9.0, 3.0, 0.0, 2.0, 3.0, 2.0, 9.0, 0.0]",3.322580645,-14.5,15 days,15
38,4/4/20,82,"[31, 28.0, 24.0, 22.0, 16.0, 14.0, 93.0, 88.0, 84.0, 83.0, 80.0, 76.0, 73.0, 72.0, 71.0, 65.0, 63.0, 62.0, 57.0, 54.0, 53.0, 52.0, 49.0, 45.0, 44.0, 44.0, 43.0, 35.0, 31.0, 28.0, 16.0, 13.0]","[3.0, 4.0, 2.0, 6.0, 2.0, 3.0, 5.0, 4.0, 1.0, 3.0, 4.0, 3.0, 1.0, 1.0, 6.0, 2.0, 1.0, 5.0, 3.0, 1.0, 1.0, 3.0, 4.0, 1.0, 0.0, 1.0, 8.0, 4.0, 3.0, 12.0, 3.0]",3.225806452,50.28125,5 days,5
39,4/4/20,82,"[31, 28.0, 24.0, 22.0, 16.0, 14.0, 93.0, 88.0, 84.0, 83.0, 80.0, 76.0, 73.0, 72.0, 71.0, 65.0, 63.0, 62.0, 57.0, 54.0, 53.0, 52.0, 49.0, 45.0, 44.0, 44.0, 43.0, 35.0, 31.0, 28.0, 16.0, 13.0]","[3.0, 4.0, 2.0, 6.0, 2.0, 3.0, 5.0, 4.0, 1.0, 3.0, 4.0, 3.0, 1.0, 1.0, 6.0, 2.0, 1.0, 5.0, 3.0, 1.0, 1.0, 3.0, 4.0, 1.0, 0.0, 1.0, 8.0, 4.0, 3.0, 12.0, 3.0]",3.225806452,50.28125,5 days,5
40,4/14/20,45,"[0, -5.0, -5.0, -6.0, -8.0, -11.0, -13.0, -18.0, -22.0, -22.0, -24.0, -27.0, -31.0, -32.0, -34.0, -36.0, 8.0, 8.0, 5.0, 3.0, -1.0, -3.0, -4.0, -4.0, -4.0, -10.0, -10.0, -13.0, -16.0, -17.0, -17.0, -25.0]","[5.0, 0.0, 1.0, 2.0, 3.0, 2.0, 5.0, 4.0, 0.0, 2.0, 3.0, 4.0, 1.0, 2.0, 2.0, 1.0, 0.0, 3.0, 2.0, 4.0, 2.0, 1.0, 0.0, 0.0, 6.0, 0.0, 3.0, 3.0, 1.0, 0.0, 8.0]",2.258064516,-12.3125,15 days,15
41,4/7/20,104,"[81.0, 78.0, 77.0]","[0.0, 3.0, 1.0]",1.333333333,78.66666667,5 days,5
42,3/30/20,28,"[0.0, 28.0, 23.0, 20.0, 19.0, 17.0, 16.0, 15.0, 13.0, 11.0, 11.0, 9.0, 8.0, 6.0, 4.0, 2.0, 0.0, -1.0, -4.0, -6.0, -6.0, -7.0, -8.0, -12.0, -14.0, -15.0, -16.0, -17.0, -19.0, -19.0, -22.0, -23.0]","[0.0, 5.0, 3.0, 1.0, 2.0, 1.0, 1.0, 2.0, 2.0, 0.0, 2.0, 1.0, 2.0, 2.0, 2.0, 2.0, 1.0, 3.0, 2.0, 0.0, 1.0, 1.0, 4.0, 2.0, 1.0, 1.0, 1.0, 2.0, 0.0, 3.0, 1.0]",1.64516129,0.40625,4 days,4
43,3/30/20,33,"[0.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 32.0, 32.0, 30.0, 30.0, 29.0, 26.0, 26.0, 26.0, 25.0, 24.0, 24.0, 24.0, 24.0, 23.0, 21.0, 21.0, 20.0, 20.0, 17.0, 16.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 2.0, 0.0, 1.0, 3.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 2.0, 0.0, 1.0, 0.0, 3.0, 1.0]",0.548387097,26.65625,1 days,1
