,ave_demand,vlt,vlt_num
135,18.61290323,7 days,7
136,2.516129032,9 days,9
137,0,6 days,6
138,6,5 days,5
139,0,8 days,8
140,0,7 days,7
141,23,7 days,7
142,1,8 days,8
143,0,5 days,5
144,0,10 days,10
145,0,4 days,4
146,0,10 days,10
147,0,7 days,7
148,6,10 days,10
149,0,3 days,3
150,0,2 days,2
151,0.25,5 days,5
152,1,7 days,7
153,0.838709677,8 days,8
154,0.967741935,8 days,8
155,0.967741935,8 days,8
156,5,8 days,8
157,4.387096774,6 days,6
158,3.838709677,12 days,12
159,2.774193548,11 days,11
160,6.806451613,5 days,5
161,7.677419355,9 days,9
162,0,12 days,12
163,0.677419355,6 days,6
164,3.451612903,10 days,10
165,11.5483871,1 days,1
166,3.870967742,7 days,7
167,0.516129032,15 days,15
168,3.677419355,6 days,6
169,20.74193548,5 days,5
170,2.75,7 days,7
171,0.225806452,8 days,8
172,14.25,9 days,9
173,2.903225806,8 days,8
174,7.967741935,19 days,19
175,30.09677419,10 days,10
176,9.967741935,2 days,2
177,10.25806452,7 days,7
178,5.290322581,6 days,6
179,0.935483871,24 days,24
180,4.741935484,8 days,8
181,2.35483871,4 days,4
182,1.870967742,6 days,6
183,10.41935484,6 days,6
184,0.5,8 days,8
185,0,15 days,15
186,4.5,3 days,3
187,1.5,13 days,13
188,3,9 days,9
189,5.064516129,10 days,10
190,1.967741935,9 days,9
191,7,22 days,22
192,2.838709677,5 days,5
193,8.483870968,15 days,15
194,1.967741935,8 days,8
195,5.666666667,6 days,6
196,7,9 days,9
197,4,5 days,5
198,1.322580645,6 days,6
199,2.774193548,6 days,6
200,21.19354839,18 days,18
201,8,6 days,6
202,0.516129032,9 days,9
203,36.03225806,9 days,9
204,8.419354839,5 days,5
205,5.129032258,29 days,29
206,9.516129032,9 days,9
207,8.580645161,8 days,8
208,7.322580645,5 days,5
209,2.64516129,7 days,7
210,1.677419355,10 days,10
211,2.580645161,8 days,8
212,0.709677419,8 days,8
213,0,3 days,3
214,1.35483871,6 days,6
215,0,10 days,10
216,5,6 days,6
217,12,9 days,9
218,1.161290323,7 days,7
219,2,7 days,7
220,12.5,7 days,7
221,0,9 days,9
222,0.5,16 days,16
223,14,6 days,6
224,0.4,8 days,8
225,9.5,8 days,8
226,14,9 days,9
227,0,8 days,8
228,20.5,2 days,2
229,4.548387097,6 days,6
230,0.064516129,8 days,8
231,27.16129032,7 days,7
232,1.032258065,25 days,25
233,0,14 days,14
234,3.935483871,6 days,6
235,11.32258065,5 days,5
236,5.64516129,12 days,12
237,3.935483871,11 days,11
238,2.096774194,6 days,6
239,0.6,5 days,5
240,0,7 days,7
241,4.322580645,27 days,27
242,5.516129032,7 days,7
243,3.322580645,2 days,2
244,7.333333333,3 days,3
245,66.33333333,4 days,4
246,0.451612903,17 days,17
247,4.516129032,8 days,8
248,7.967741935,9 days,9
249,0,10 days,10
250,8.129032258,6 days,6
251,16.32258065,10 days,10
252,24.35483871,6 days,6
253,17.80645161,6 days,6
254,0,9 days,9
255,14.38709677,6 days,6
256,6.806451613,6 days,6
257,4,7 days,7
258,0,19 days,19
259,5.5,9 days,9
260,0.838709677,10 days,10
261,1,30 days,30
262,5.290322581,9 days,9
263,16.4516129,8 days,8
264,1,9 days,9
265,27.22580645,5 days,5
266,10.33333333,4 days,4
267,6.666666667,10 days,10
268,2.666666667,4 days,4
269,2.806451613,7 days,7
270,3.774193548,30 days,30
271,15.61290323,8 days,8
272,1.387096774,9 days,9
273,0.5,7 days,7
274,1.64516129,4 days,4
275,5.25,5 days,5
276,5,7 days,7
277,2.838709677,5 days,5
278,6.709677419,10 days,10
279,3.096774194,5 days,5
280,6,8 days,8
281,0.258064516,14 days,14
282,0.032258065,5 days,5
283,1.161290323,10 days,10
284,1.548387097,9 days,9
285,2.903225806,8 days,8
286,4,9 days,9
287,0,16 days,16
288,26,7 days,7
289,38,9 days,9
290,2,7 days,7
291,3.5,9 days,9
292,11,8 days,8
293,9,5 days,5
294,3,10 days,10
295,0,7 days,7
296,0.2,3 days,3
297,0,10 days,10
298,1.548387097,5 days,5
299,5.774193548,15 days,15
300,2.64516129,7 days,7
301,11.38709677,8 days,8
302,15.48387097,5 days,5
303,2.129032258,21 days,21
304,19.41935484,21 days,21
305,0.419354839,13 days,13
306,0,20 days,20
307,3.8,6 days,6
308,6.161290323,7 days,7
309,3.129032258,5 days,5
310,10.41935484,9 days,9
311,0.419354839,10 days,10
312,0,15 days,15
313,0.666666667,3 days,3
314,3,17 days,17
315,4.838709677,14 days,14
316,1.2,5 days,5
317,1.967741935,6 days,6
318,2.129032258,14 days,14
319,2.64516129,6 days,6
320,2.483870968,7 days,7
321,22.64516129,12 days,12
322,1.5,14 days,14
323,2.5,1 days,1
324,2.5,4 days,4
325,16.06451613,7 days,7
326,1.5,10 days,10
327,1.258064516,5 days,5
328,0.935483871,16 days,16
329,4.548387097,27 days,27
330,10.38709677,3 days,3
331,5.333333333,3 days,3
332,3.838709677,8 days,8
333,31.32258065,6 days,6
334,1,7 days,7
335,8.258064516,5 days,5
336,0.6,3 days,3
337,30.93548387,10 days,10
338,5.483870968,8 days,8
339,0.322580645,7 days,7
340,2.774193548,20 days,20
341,14,15 days,15
342,1,6 days,6
343,2.333333333,11 days,11
344,0,1 days,1
345,7,3 days,3
346,1,8 days,8
347,1.064516129,3 days,3
348,0,4 days,4
349,3.064516129,6 days,6
350,2.5,8 days,8
351,1,2 days,2
352,11,5 days,5
353,2,7 days,7
354,7,7 days,7
355,12,8 days,8
356,6,6 days,6
357,1,8 days,8
358,0.387096774,4 days,4
359,4.774193548,12 days,12
360,1.161290323,11 days,11
361,1.580645161,5 days,5
362,3.161290323,4 days,4
363,0,60 days,60
364,0,9 days,9
365,6.580645161,5 days,5
366,3.870967742,22 days,22
367,5.064516129,7 days,7
368,1.580645161,6 days,6
369,3.709677419,30 days,30
370,2.064516129,7 days,7
371,2.322580645,4 days,4
372,6.666666667,6 days,6
373,2.032258065,9 days,9
374,4.225806452,24 days,24
375,5.516129032,10 days,10
376,2.483870968,6 days,6
377,7.612903226,18 days,18
378,4.258064516,19 days,19
379,0.75,16 days,16
380,2,3 days,3
381,5.806451613,13 days,13
382,1.290322581,9 days,9
383,2.548387097,7 days,7
384,2.161290323,6 days,6
385,0.2,4 days,4
386,20.58064516,8 days,8
387,0.258064516,15 days,15
388,7.774193548,8 days,8
389,9.225806452,2 days,2
390,10.67741935,8 days,8
391,0.25,5 days,5
392,4.5,5 days,5
393,5.838709677,12 days,12
394,0.225806452,6 days,6
395,20.87096774,9 days,9
396,15.12903226,9 days,9
397,4.193548387,7 days,7
398,1.903225806,8 days,8
399,3.838709677,18 days,18
400,3.903225806,19 days,19
401,0,15 days,15
402,3,3 days,3
403,0,1 days,1
404,2.4,10 days,10
405,5.333333333,8 days,8
406,3,8 days,8
407,1,9 days,9
408,0,1 days,1
409,0,7 days,7
410,40.5,3 days,3
411,1,30 days,30
412,0.612903226,6 days,6
413,4.032258065,9 days,9
414,3.677419355,5 days,5
415,2.258064516,14 days,14
416,2.096774194,5 days,5
417,10.06451613,7 days,7
418,2.806451613,9 days,9
419,2.806451613,10 days,10
420,0.612903226,7 days,7
421,1.806451613,5 days,5
422,2.4,8 days,8
423,4.548387097,30 days,30
424,4.064516129,7 days,7
425,9.903225806,10 days,10
426,0.838709677,11 days,11
427,3.935483871,1 days,1
428,4.75,5 days,5
429,1.25,4 days,4
430,0,12 days,12
431,0.967741935,12 days,12
432,5.032258065,10 days,10
433,3.612903226,8 days,8
434,0.967741935,17 days,17
435,6.161290323,12 days,12
436,5.677419355,5 days,5
437,3.709677419,10 days,10
438,4.870967742,11 days,11
439,1.870967742,3 days,3
440,8.774193548,9 days,9
441,1.5,16 days,16
442,23.5,6 days,6
443,0.5,10 days,10
444,0.5,4 days,4
445,27,11 days,11
446,14.22580645,8 days,8
447,0.032258065,8 days,8
448,9.387096774,10 days,10
449,4.870967742,30 days,30
450,0.258064516,5 days,5
451,4.677419355,11 days,11
452,27.41935484,5 days,5
453,6,8 days,8
454,4.666666667,4 days,4
455,0.677419355,11 days,11
456,25.16129032,12 days,12
457,5.612903226,12 days,12
458,0.806451613,15 days,15
459,14.32258065,9 days,9
460,1.612903226,12 days,12
461,10.61290323,4 days,4
462,1.4,11 days,11
463,3.4,12 days,12
464,7.35483871,13 days,13
465,2.838709677,9 days,9
466,18.06451613,7 days,7
467,14.41935484,10 days,10
468,2.129032258,7 days,7
469,5.838709677,9 days,9
470,3.290322581,10 days,10
471,3.064516129,14 days,14
472,3,7 days,7
473,2,8 days,8
474,3.064516129,9 days,9
475,0.75,10 days,10
476,9.516129032,13 days,13
477,6.483870968,5 days,5
478,3,8 days,8
479,3.290322581,4 days,4
480,13.5,3 days,3
481,12,3 days,3
482,2,3 days,3
483,1,6 days,6
484,4.333333333,8 days,8
485,5,3 days,3
486,3.333333333,2 days,2
487,2,9 days,9
488,3.677419355,23 days,23
489,1,16 days,16
490,9.774193548,10 days,10
491,0.161290323,9 days,9
492,3.870967742,6 days,6
493,2.193548387,30 days,30
494,6.290322581,10 days,10
495,9,9 days,9
496,5.870967742,7 days,7
497,3.387096774,4 days,4
498,0,18 days,18
499,13.22580645,15 days,15
500,3.161290323,8 days,8
501,2.612903226,15 days,15
502,0.032258065,12 days,12
503,12.12903226,5 days,5
504,15.70967742,15 days,15
505,38.90322581,12 days,12
506,0.806451613,11 days,11
507,3.161290323,12 days,12
508,0.677419355,7 days,7
509,4.5,9 days,9
510,2.806451613,14 days,14
511,4.25,11 days,11
512,6.516129032,12 days,12
513,1.35483871,7 days,7
514,12.96774194,18 days,18
515,2.870967742,10 days,10
516,0.774193548,11 days,11
517,0.709677419,10 days,10
518,1,7 days,7
519,7.870967742,3 days,3
520,1.612903226,5 days,5
521,3,7 days,7
522,32,9 days,9
523,6.967741935,7 days,7
524,1.64516129,6 days,6
525,11.29032258,50 days,50
526,6.419354839,6 days,6
527,1.64516129,4 days,4
528,0.35483871,6 days,6
529,4,8 days,8
530,33.90322581,11 days,11
531,1.333333333,1 days,1
532,4.516129032,7 days,7
533,1,6 days,6
534,6.774193548,10 days,10
535,3.677419355,6 days,6
536,5.741935484,15 days,15
537,1.709677419,18 days,18
538,11.6,8 days,8
539,3,16 days,16
540,1.096774194,9 days,9
541,17,14 days,14
542,2.838709677,5 days,5
543,3.612903226,7 days,7
544,4.838709677,9 days,9
545,20.64516129,22 days,22
546,1.516129032,9 days,9
547,4.193548387,5 days,5
548,0.806451613,10 days,10
549,1,5 days,5
550,2,9 days,9
551,0.333333333,6 days,6
552,3,4 days,4
553,1.258064516,9 days,9
554,5,10 days,10
555,0,12 days,12
556,2.25,11 days,11
557,0,14 days,14
558,18.33333333,11 days,11
559,1,15 days,15
560,0,2 days,2
561,0,7 days,7
562,1,14 days,14
563,0,7 days,7
564,1,14 days,14
565,1,10 days,10
566,1,4 days,4
567,5,9 days,9
568,1,3 days,3
569,3.225806452,5 days,5
570,23.80645161,15 days,15
571,3.290322581,6 days,6
572,1.032258065,9 days,9
573,0.096774194,9 days,9
574,1.290322581,15 days,15
575,5.290322581,6 days,6
576,4,6 days,6
577,7.967741935,9 days,9
578,1.483870968,27 days,27
579,2.64516129,4 days,4
580,10.75,10 days,10
581,0.75,6 days,6
582,6,1 days,1
583,1.35483871,8 days,8
584,16.33333333,2 days,2
585,5.333333333,6 days,6
586,0.903225806,6 days,6
587,0.096774194,8 days,8
588,1.129032258,6 days,6
589,1.870967742,2 days,2
590,3.677419355,7 days,7
591,6.129032258,6 days,6
592,1.967741935,5 days,5
593,5,6 days,6
594,11.80645161,7 days,7
595,18,5 days,5
596,1.612903226,5 days,5
597,2.193548387,14 days,14
598,9.032258065,5 days,5
599,10.48387097,20 days,20
600,1.516129032,4 days,4
601,8.096774194,10 days,10
602,2.451612903,9 days,9
603,12.58064516,11 days,11
604,0.709677419,8 days,8
605,0.666666667,9 days,9
606,0.032258065,17 days,17
607,3.870967742,11 days,11
608,83.70967742,23 days,23
609,2.161290323,7 days,7
610,4.387096774,17 days,17
611,17.51612903,13 days,13
612,2.193548387,9 days,9
613,3.35483871,8 days,8
614,15.38709677,8 days,8
615,2.903225806,5 days,5
616,0.387096774,6 days,6
617,4.548387097,7 days,7
618,0.064516129,9 days,9
619,7.225806452,12 days,12
620,1.258064516,9 days,9
621,6.258064516,20 days,20
622,24.77419355,16 days,16
623,1.870967742,2 days,2
624,0,31 days,31
625,0,17 days,17
626,19.03225806,4 days,4
627,2.483870968,3 days,3
628,1.870967742,8 days,8
629,0.612903226,11 days,11
630,0,4 days,4
631,5,5 days,5
632,1.5,5 days,5
633,0.25,7 days,7
634,1.666666667,6 days,6
635,0,16 days,16
636,1.333333333,3 days,3
637,0.333333333,3 days,3
638,2,2 days,2
639,1.419354839,7 days,7
640,2.064516129,14 days,14
641,1.35483871,7 days,7
642,8.387096774,6 days,6
643,39.16129032,15 days,15
644,31.70967742,5 days,5
645,4.935483871,8 days,8
646,2.64516129,15 days,15
647,6.322580645,4 days,4
648,4.935483871,8 days,8
649,2.35483871,5 days,5
650,3,13 days,13
651,0.580645161,7 days,7
652,3.064516129,8 days,8
653,0.75,4 days,4
654,3.935483871,7 days,7
655,1.838709677,6 days,6
656,1.387096774,7 days,7
657,5.333333333,3 days,3
658,53,9 days,9
659,1.967741935,17 days,17
660,1.677419355,15 days,15
661,0,10 days,10
662,5.290322581,8 days,8
663,7.935483871,13 days,13
664,0.4,9 days,9
665,0.709677419,9 days,9
666,1.838709677,15 days,15
667,0.516129032,9 days,9
668,2.580645161,3 days,3
669,23.25,5 days,5
670,3.5,3 days,3
671,9.903225806,10 days,10
672,2.806451613,18 days,18
673,7.5,6 days,6
674,3.806451613,8 days,8
675,6.387096774,6 days,6
676,21.32258065,6 days,6
677,14.87096774,11 days,11
678,6.612903226,20 days,20
679,2.64516129,15 days,15
680,1.548387097,12 days,12
681,1.870967742,11 days,11
682,6.64516129,10 days,10
683,5.548387097,4 days,4
684,3,13 days,13
685,0.032258065,12 days,12
686,1.290322581,10 days,10
687,5.25,3 days,3
688,4.677419355,5 days,5
689,10.58064516,6 days,6
690,3.774193548,11 days,11
691,0.064516129,11 days,11
692,3.677419355,24 days,24
693,18.12903226,6 days,6
694,0.870967742,7 days,7
695,5.451612903,8 days,8
696,2.322580645,8 days,8
697,3.35483871,7 days,7
698,2.774193548,9 days,9
699,4.258064516,12 days,12
700,8,7 days,7
701,0,3 days,3
702,10.8,9 days,9
703,0,9 days,9
704,0,13 days,13
705,1,9 days,9
706,0,2 days,2
707,0,9 days,9
708,1.290322581,14 days,14
709,13.8,5 days,5
710,1,9 days,9
711,14.58064516,11 days,11
712,0.838709677,5 days,5
713,0.419354839,20 days,20
714,1.580645161,5 days,5
715,21.51612903,5 days,5
716,1.64516129,5 days,5
717,11,4 days,4
718,3.806451613,3 days,3
719,0.709677419,6 days,6
720,4.129032258,10 days,10
721,5,6 days,6
722,0,16 days,16
723,7.161290323,8 days,8
724,1.032258065,30 days,30
725,2.35483871,2 days,2
726,24.64516129,17 days,17
727,3.333333333,4 days,4
728,8.290322581,12 days,12
729,1.612903226,10 days,10
730,5.419354839,9 days,9
731,1.870967742,3 days,3
732,1.290322581,26 days,26
733,4.4,4 days,4
734,0.548387097,20 days,20
735,4.64516129,6 days,6
736,0.161290323,13 days,13
737,0.129032258,9 days,9
738,0.290322581,12 days,12
739,6.580645161,9 days,9
740,2.774193548,12 days,12
741,1.225806452,7 days,7
742,6.548387097,15 days,15
743,0.25,8 days,8
744,4.5,8 days,8
745,1.5,10 days,10
746,4.25,7 days,7
747,5,4 days,4
748,1.5,15 days,15
749,0.451612903,10 days,10
750,14.64516129,2 days,2
751,7.483870968,33 days,33
752,0.612903226,8 days,8
753,11,9 days,9
754,5.064516129,10 days,10
755,1.451612903,19 days,19
756,2.35483871,5 days,5
757,38.93548387,5 days,5
758,3.967741935,13 days,13
759,12.74193548,16 days,16
760,3.483870968,7 days,7
761,3.258064516,10 days,10
762,3.322580645,5 days,5
763,50.32258065,6 days,6
764,2.548387097,11 days,11
765,0,6 days,6
766,2,7 days,7
767,0.666666667,9 days,9
768,0,8 days,8
769,0,6 days,6
770,0,11 days,11
771,0.612903226,9 days,9
772,5,7 days,7
773,11,8 days,8
774,0,10 days,10
775,0,4 days,4
776,0,3 days,3
777,0,9 days,9
778,2.774193548,11 days,11
779,3.096774194,8 days,8
780,3.387096774,5 days,5
781,1.451612903,4 days,4
782,1.483870968,5 days,5
783,12.83870968,7 days,7
784,2.838709677,13 days,13
785,6.419354839,8 days,8
786,5.580645161,5 days,5
787,12.77419355,5 days,5
788,1.75,10 days,10
789,2.25,6 days,6
790,3.032258065,3 days,3
791,25.25806452,4 days,4
792,17.96774194,9 days,9
793,2.64516129,9 days,9
794,2.709677419,22 days,22
795,1,7 days,7
796,0,11 days,11
797,0.741935484,12 days,12
798,0,9 days,9
799,6.516129032,8 days,8
800,0.75,5 days,5
801,2,5 days,5
802,1,4 days,4
803,4,5 days,5
804,1,3 days,3
805,0,9 days,9
806,19.70967742,4 days,4
807,28.03225806,5 days,5
808,7.064516129,8 days,8
809,0.774193548,2 days,2
810,3.709677419,6 days,6
811,3.903225806,12 days,12
812,27.80645161,14 days,14
813,0.483870968,9 days,9
814,3.161290323,5 days,5
815,0.870967742,9 days,9
816,3,9 days,9
817,3.333333333,10 days,10
818,4.451612903,20 days,20
819,18.80645161,10 days,10
820,4.064516129,6 days,6
821,1.064516129,9 days,9
822,3.225806452,5 days,5
823,6.387096774,8 days,8
824,2.161290323,8 days,8
825,5.2,10 days,10
826,7,7 days,7
827,0,5 days,5
828,1.612903226,8 days,8
829,0,5 days,5
830,0,4 days,4
831,0,4 days,4
832,7.612903226,11 days,11
833,1.774193548,6 days,6
834,26.35483871,9 days,9
835,56.48387097,10 days,10
836,2.806451613,5 days,5
837,8.666666667,5 days,5
838,2,4 days,4
839,9,8 days,8
840,0,5 days,5
841,1,7 days,7
842,3.5,6 days,6
843,0,9 days,9
844,3.35483871,4 days,4
845,0,11 days,11
846,1.333333333,1 days,1
847,0,11 days,11
848,2,7 days,7
849,0,4 days,4
850,0.612903226,4 days,4
851,2.666666667,7 days,7
852,47,8 days,8
853,2,10 days,10
854,3.516129032,8 days,8
855,5.483870968,15 days,15
856,4.741935484,9 days,9
857,1.451612903,5 days,5
858,0.935483871,5 days,5
859,2.064516129,9 days,9
860,9.903225806,5 days,5
861,3.774193548,13 days,13
862,1.967741935,5 days,5
863,0,12 days,12
864,2.258064516,7 days,7
865,5.290322581,10 days,10
866,0,8 days,8
867,1.4,8 days,8
868,5.419354839,5 days,5
869,5.129032258,30 days,30
870,1.25,8 days,8
871,4.032258065,14 days,14
872,10.09677419,10 days,10
873,0.451612903,10 days,10
874,1.935483871,6 days,6
875,2.225806452,8 days,8
876,0.677419355,6 days,6
877,2.580645161,17 days,17
878,1,3 days,3
879,5.677419355,7 days,7
880,2.419354839,11 days,11
881,0,10 days,10
882,1.548387097,12 days,12
883,2,7 days,7
884,0.774193548,3 days,3
885,5,3 days,3
886,0.5,2 days,2
887,3.5,2 days,2
888,4,20 days,20
889,4.032258065,8 days,8
890,14.22580645,7 days,7
891,36.90322581,14 days,14
892,7.838709677,9 days,9
893,2.096774194,13 days,13
894,8.290322581,7 days,7
895,17.74193548,15 days,15
896,1.8,3 days,3
897,7.4,8 days,8
898,2.333333333,9 days,9
899,0.25,5 days,5
900,0.5,6 days,6
901,4.290322581,14 days,14
902,6.903225806,16 days,16
903,1.35483871,5 days,5
904,5.096774194,6 days,6
905,3.516129032,8 days,8
906,1.967741935,13 days,13
907,1.193548387,5 days,5
908,2.838709677,13 days,13
909,9.129032258,5 days,5
910,7.677419355,4 days,4
911,11.80645161,14 days,14
912,0,31 days,31
913,45.22580645,15 days,15
914,0,8 days,8
915,2.75,12 days,12
916,18,3 days,3
917,0.612903226,11 days,11
918,0,4 days,4
919,0,6 days,6
920,2,6 days,6
921,19,5 days,5
922,0.258064516,6 days,6
923,30.83870968,13 days,13
924,0,11 days,11
925,0.677419355,3 days,3
926,7.612903226,6 days,6
927,17.32258065,12 days,12
928,4.677419355,6 days,6
929,7.806451613,11 days,11
930,0.322580645,15 days,15
931,2.032258065,14 days,14
932,5.064516129,7 days,7
933,10.12903226,6 days,6
934,3.258064516,8 days,8
935,2.290322581,9 days,9
936,3.483870968,6 days,6
937,2.548387097,13 days,13
938,1.193548387,28 days,28
939,11.93548387,10 days,10
940,15.33333333,13 days,13
941,4.096774194,7 days,7
942,2.580645161,5 days,5
943,1.516129032,13 days,13
944,5.35483871,9 days,9
945,1,5 days,5
946,2.64516129,13 days,13
947,3.225806452,7 days,7
948,3.516129032,9 days,9
949,1,2 days,2
950,8,7 days,7
951,8.5,6 days,6
952,1.935483871,5 days,5
953,4.870967742,33 days,33
954,0.580645161,7 days,7
955,0.032258065,9 days,9
956,0.6,10 days,10
957,1,5 days,5
958,0.451612903,6 days,6
959,0.774193548,9 days,9
960,2.548387097,4 days,4
961,5.258064516,10 days,10
962,2.096774194,8 days,8
963,2.666666667,12 days,12
964,5,8 days,8
965,0,10 days,10
966,9.709677419,7 days,7
967,0.967741935,6 days,6
968,2.870967742,26 days,26
969,1.322580645,7 days,7
970,3.903225806,6 days,6
971,0,9 days,9
972,0,4 days,4
973,0,3 days,3
974,2.75,10 days,10
975,2.225806452,18 days,18
976,21.19354839,19 days,19
977,45.83870968,7 days,7
978,11.41935484,10 days,10
979,0,6 days,6
980,3.290322581,5 days,5
981,15.90322581,9 days,9
982,7.64516129,6 days,6
983,1.419354839,8 days,8
984,14.87096774,4 days,4
985,1.322580645,20 days,20
986,10.74193548,12 days,12
987,4.258064516,8 days,8
988,1,11 days,11
989,1.451612903,8 days,8
990,0,6 days,6
991,0.225806452,6 days,6
992,0,3 days,3
993,1,15 days,15
994,20,9 days,9
995,0,3 days,3
996,0,7 days,7
997,2,11 days,11
998,0,5 days,5
999,1,9 days,9
1000,0.6,8 days,8
1001,3.75,8 days,8
1002,2,5 days,5
1003,2,15 days,15
1004,4,11 days,11
1005,15,9 days,9
1006,4,5 days,5
1007,3.193548387,7 days,7
1008,0.032258065,9 days,9
1009,2.193548387,26 days,26
1010,5.903225806,9 days,9
1011,2.548387097,9 days,9
1012,0.419354839,9 days,9
1013,0.032258065,8 days,8
1014,2.35483871,3 days,3
1015,8.258064516,7 days,7
1016,2.25,14 days,14
1017,5.322580645,7 days,7
1018,1.903225806,14 days,14
1019,3.322580645,14 days,14
1020,68.22580645,5 days,5
1021,0,12 days,12
1022,7.193548387,6 days,6
1023,2.580645161,7 days,7
1024,2.333333333,1 days,1
1025,1.666666667,1 days,1
1026,0.666666667,9 days,9
1027,4.774193548,8 days,8
1028,11.38709677,8 days,8
1029,1.838709677,9 days,9
1030,3.548387097,4 days,4
1031,19.74193548,6 days,6
1032,1.903225806,7 days,7
1033,1.580645161,4 days,4
1034,4.774193548,7 days,7
1035,3.548387097,13 days,13
1036,0.419354839,9 days,9
1037,20.58064516,5 days,5
1038,8.903225806,11 days,11
1039,3.935483871,15 days,15
1040,4.064516129,14 days,14
1041,9.5,8 days,8
1042,7,11 days,11
1043,4,6 days,6
1044,0,6 days,6
1045,0.741935484,6 days,6
1046,1.677419355,11 days,11
1047,3.580645161,7 days,7
1048,4.032258065,10 days,10
1049,0.4,3 days,3
1050,14.5483871,10 days,10
1051,3.225806452,10 days,10
1052,1.483870968,8 days,8
1053,1.419354839,11 days,11
1054,0.870967742,9 days,9
1055,9.483870968,10 days,10
1056,0.225806452,6 days,6
1057,0.580645161,20 days,20
1058,4.6,12 days,12
1059,3.129032258,6 days,6
1060,0.774193548,2 days,2
1061,2.838709677,8 days,8
1062,3.451612903,10 days,10
1063,0,30 days,30
1064,1.322580645,7 days,7
1065,1.225806452,12 days,12
1066,4.709677419,8 days,8
1067,3,8 days,8
1068,2.5,7 days,7
1069,0,8 days,8
1070,4.5,13 days,13
1071,0,7 days,7
1072,22.67741935,6 days,6
1073,2,9 days,9
1074,0.6,12 days,12
1075,16,7 days,7
1076,0,14 days,14
1077,0,7 days,7
1078,0,11 days,11
1079,15.5,8 days,8
1080,13.5,6 days,6
1081,3,7 days,7
