sku_dc_pair_index,complete_tm,order_amount,test_inv,test_demand,ave_demand,ave_inv,vlt,vlt_num
33,4/25/20,70.81,"[44, 40.0, 36.0, 30.0, 26.0, 19.0, 87.0, 84.0, 84.0, 80.0, 75.0]","[4.0, 4.0, 6.0, 4.0, 7.0, 2.0, 3.0, 0.0, 4.0, 5.0]",3.9,55,5 days,5
34,4/7/20,46.89,"[30, 30.0, 29.0, 24.0, 17.0, 16.0, 14.0, 12.0, 12.0, 58.0, 54.0, 52.0, 39.0, 27.0, 27.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 23.0, 22.0, 22.0, 20.0, 11.0, 9.0, 0.0, 0.0, -11.0, -11.0, -12.0]","[0.0, 1.0, 5.0, 7.0, 1.0, 2.0, 2.0, 0.0, 0.0, 4.0, 2.0, 13.0, 12.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 1.0, 0.0, 2.0, 9.0, 2.0, 9.0, 0.0, 11.0, 0.0, 1.0]",2.838709677,20.75,8 days,8
35,4/8/20,42.277,"[35, 33.0, 33.0, 31.0, 22.0, 22.0, 20.0, 20.0, 18.0, 11.0, 51.0, 49.0, 47.0, 47.0, 42.0, 34.0, 34.0, 34.0, 34.0, 32.0, 32.0, 32.0, 32.0, 32.0, 30.0, 30.0, 30.0, 30.0, 30.0, 30.0, 30.0, 30.0]","[2.0, 0.0, 2.0, 9.0, 0.0, 2.0, 0.0, 2.0, 7.0, 2.0, 2.0, 2.0, 0.0, 5.0, 8.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.516129032,31.78125,9 days,9
36,4/27/20,61.171,"[20, 20.0, 20.0, 18.0, 18.0, 12.0, 10.0, 8.0, 69.0, 69.0, 67.0]","[0.0, 0.0, 2.0, 0.0, 6.0, 2.0, 2.0, 0.0, 0.0, 2.0]",1.4,30.09090909,7 days,7
37,4/4/20,49.495,"[0, 0.0, 0.0, -1.0, -1.0, -1.0, 48.0, 43.0, 41.0, 33.0, 29.0, 21.0, 12.0, 8.0, -5.0, -5.0, -9.0, -11.0, -11.0, -11.0, -15.0, -18.0, -20.0, -23.0, -27.0, -31.0, -35.0, -36.0, -38.0, -38.0, -38.0, -46.0]","[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 5.0, 2.0, 8.0, 4.0, 8.0, 9.0, 4.0, 13.0, 0.0, 4.0, 2.0, 0.0, 0.0, 4.0, 3.0, 2.0, 3.0, 4.0, 4.0, 4.0, 1.0, 2.0, 0.0, 0.0, 8.0]",3.064516129,-5.78125,5 days,5
38,4/7/20,51.33,"[15, 13.0, 10.0, 7.0, 4.0, 4.0, 4.0, 2.0, 2.0, 47.0, 47.0, 39.0, 39.0, 39.0, 38.0, 37.0, 31.0, 31.0, 31.0, 25.0, 23.0, 19.0, 19.0, 19.0, 17.0, 11.0, 11.0, 11.0, 9.0, 9.0, 7.0, 5.0]","[2.0, 3.0, 3.0, 3.0, 0.0, 0.0, 2.0, 0.0, 6.0, 0.0, 8.0, 0.0, 0.0, 1.0, 1.0, 6.0, 0.0, 0.0, 6.0, 2.0, 4.0, 0.0, 0.0, 2.0, 6.0, 0.0, 0.0, 2.0, 0.0, 2.0, 2.0]",1.967741935,19.53125,8 days,8
39,3/31/20,61.138,"[45.0, 45.0, 104.0, 100.0, 98.0, 98.0, 98.0, 98.0, 93.0, 83.0, 79.0, 77.0, 75.0, 73.0, 67.0, 63.0, 59.0, 56.0, 50.0, 48.0, 46.0, 42.0, 42.0, 38.0, 29.0, 24.0, 20.0, 20.0, 20.0, 16.0, 12.0, 12.0]","[0.0, 2.0, 4.0, 2.0, 0.0, 0.0, 0.0, 5.0, 10.0, 4.0, 2.0, 2.0, 2.0, 6.0, 4.0, 4.0, 3.0, 6.0, 2.0, 2.0, 4.0, 0.0, 4.0, 9.0, 5.0, 4.0, 0.0, 0.0, 4.0, 4.0, 0.0]",3.032258065,57.1875,6 days,6
40,4/12/20,114.321,"[25, 21.0, 15.0, 9.0, 9.0, 7.0, 5.0, 1.0, -3.0, -10.0, -10.0, -14.0, -16.0, -24.0, 77.0, 73.0, 65.0, 57.0, 53.0, 44.0, 44.0, 42.0, 36.0, 34.0, 34.0, 34.0, 34.0, 34.0, 30.0, 24.0, 19.0, 17.0]","[4.0, 6.0, 6.0, 0.0, 2.0, 2.0, 4.0, 4.0, 7.0, 0.0, 4.0, 2.0, 8.0, 13.0, 4.0, 8.0, 8.0, 4.0, 9.0, 0.0, 2.0, 6.0, 2.0, 0.0, 0.0, 0.0, 0.0, 4.0, 6.0, 5.0, 2.0]",3.935483871,23.9375,13 days,13
41,4/18/20,103.58,"[-13.0, 87.0, 80.0, 78.0, 74.0, 71.0, 62.0, 57.0, 55.0, 53.0, 48.0, 47.0, 44.0]","[1.0, 3.0, 7.0, 2.0, 4.0, 3.0, 9.0, 5.0, 2.0, 2.0, 5.0, 1.0, 3.0]",3.615384615,57.15384615,6 days,6
42,4/17/20,28.681,"[16.0, 15.0, 14.0, 14.0, 14.0, 13.0, 11.0, 10.0, 8.0, 8.0, 5.0, -1.0, -1.0]","[0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 2.0, 1.0, 2.0, 0.0, 3.0, 6.0, 0.0]",1.307692308,9.692307692,5 days,5
43,4/28/20,32.707,"[21, 21.0, 20.0, 20.0, 20.0, 20.0, 52.0, 42.0]","[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 10.0]",1.571428571,27,5 days,5
44,3/27/20,20.005,"[19.0, 19.0, 19.0, 19.0, 18.0, 16.0, 16.0, 14.0, 14.0, 9.0, 9.0, 8.0, 5.0, 3.0, 2.0, 2.0, 2.0, 2.0, -3.0, -3.0, -3.0, -3.0, -5.0, -5.0, -5.0, -6.0, -6.0, -6.0, -6.0, -6.0, -6.0, -7.0]","[0.0, 0.0, 0.0, 1.0, 2.0, 0.0, 2.0, 0.0, 5.0, 0.0, 1.0, 3.0, 2.0, 1.0, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",0.838709677,3.9375,4 days,4
45,4/4/20,49.406,"[38, 34.0, 34.0, 34.0, 31.0, 27.0, 73.0, 69.0, 67.0, 64.0, 64.0, 61.0, 60.0, 60.0, 56.0, 55.0, 48.0, 48.0, 46.0, 44.0, 42.0, 42.0, 39.0, 37.0, 37.0, 35.0, 33.0, 31.0, 28.0, 28.0, 23.0, 23.0]","[4.0, 0.0, 0.0, 3.0, 4.0, 3.0, 4.0, 2.0, 3.0, 0.0, 3.0, 1.0, 0.0, 4.0, 1.0, 7.0, 0.0, 2.0, 2.0, 2.0, 0.0, 3.0, 2.0, 0.0, 2.0, 2.0, 2.0, 3.0, 0.0, 5.0, 0.0]",2.064516129,44.09375,5 days,5
46,4/26/20,62.577,"[22, 20.0, 16.0, 14.0, 72.0, 68.0, 64.0, 59.0]","[2.0, 4.0, 2.0, 4.0, 4.0, 4.0, 5.0]",3.571428571,41.875,3 days,3
47,4/17/20,52.27,"[74.0, 72.0, 67.0, 65.0, 59.0, 56.0, 55.0, 52.0, 48.0, 42.0, 40.0, 37.0, 35.0]","[2.0, 2.0, 5.0, 2.0, 6.0, 3.0, 1.0, 3.0, 4.0, 6.0, 2.0, 3.0, 2.0]",3.153846154,54,5 days,5
48,4/19/20,87.475,"[1.0, 1.0, -3.0, 82.0, 78.0, 72.0, 71.0, 63.0, 54.0, 53.0, 45.0, 44.0, 41.0, 35.0]","[0.0, 0.0, 4.0, 2.0, 4.0, 6.0, 1.0, 8.0, 9.0, 1.0, 8.0, 1.0, 3.0, 6.0]",3.785714286,45.5,6 days,6
49,4/16/20,25.978,"[32.0, 31.0, 30.0, 29.0, 28.0, 25.0, 22.0, 21.0, 20.0, 19.0, 18.0, 18.0, 17.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 3.0, 3.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0]",1.230769231,23.84615385,4 days,4
50,4/27/20,52.86,"[27, 26.0, 23.0, 18.0, 15.0, 65.0, 55.0, 55.0]","[1.0, 3.0, 5.0, 3.0, 2.0, 10.0, 0.0]",3.428571429,35.5,4 days,4
51,4/21/20,69.057,"[29, 27.0, 23.0, 15.0, 11.0, 8.0, 6.0, 75.0, 70.0, 63.0, 62.0, 60.0, 55.0, 52.0, 46.0, 40.0]","[2.0, 4.0, 8.0, 4.0, 3.0, 2.0, 0.0, 5.0, 7.0, 1.0, 2.0, 5.0, 3.0, 6.0, 6.0]",3.866666667,40.125,6 days,6
52,4/13/20,63.267,"[61.0, 58.0, 54.0, 50.0, 47.0, 46.0]","[3.0, 3.0, 4.0, 4.0, 3.0, 1.0]",3,52.66666667,8 days,8
53,4/21/20,88.582,"[32, 25.0, 22.0, 19.0, 15.0, 15.0, 11.0, 92.0, 90.0, 86.0, 86.0, 82.0, 80.0, 80.0, 78.0, 75.0]","[7.0, 3.0, 3.0, 4.0, 0.0, 4.0, 7.0, 2.0, 4.0, 0.0, 4.0, 2.0, 0.0, 2.0, 3.0]",3,55.5,6 days,6
54,4/28/20,176.848,"[40, 33.0, 31.0, 30.0, 27.0, 26.0, 20.0, 18.0, 12.0, 186.0, 185.0]","[7.0, 2.0, 1.0, 3.0, 1.0, 6.0, 2.0, 6.0, 2.0, 1.0]",3.1,55.27272727,8 days,8
55,4/7/20,100.107,"[82.0, 76.0, 74.0, 70.0, 65.0, 57.0, 52.0, 50.0, 43.0, 139.0, 135.0, 129.0, 111.0, 109.0, 107.0, 107.0, 105.0, 103.0, 90.0, 86.0, 80.0, 74.0, 72.0, 70.0, 68.0, 68.0, 68.0, 68.0, 66.0, 66.0, 66.0, 64.0]","[6.0, 2.0, 4.0, 5.0, 8.0, 5.0, 2.0, 7.0, 4.0, 4.0, 6.0, 18.0, 2.0, 2.0, 0.0, 2.0, 2.0, 13.0, 4.0, 6.0, 6.0, 2.0, 2.0, 2.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 2.0]",3.806451613,81.875,13 days,13
56,4/14/20,39.042,"[10, 8.0, 6.0, 6.0, 6.0, 6.0, 6.0, 4.0, 2.0, 2.0, -2.0, -4.0, -9.0, -11.0, -11.0, -11.0, 26.0, 24.0, 16.0, 12.0, 12.0, 10.0, 8.0, 8.0, 8.0, 8.0, 6.0, 3.0, 1.0, -1.0, -5.0, -7.0]","[2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 0.0, 4.0, 2.0, 5.0, 2.0, 0.0, 0.0, 2.0, 2.0, 8.0, 4.0, 0.0, 2.0, 2.0, 0.0, 0.0, 0.0, 2.0, 3.0, 2.0, 2.0, 4.0, 2.0]",1.806451613,4.28125,15 days,15
57,4/5/20,58.464,"[-10.0, -10.0, -13.0, -15.0, -15.0, -15.0, -15.0, 43.0, 43.0, 43.0, 43.0, 43.0, 43.0, 43.0, 43.0, 43.0, 42.0, 42.0, 42.0, 32.0, 32.0, 26.0, 24.0, 22.0, 18.0, 16.0, 9.0, 5.0, 4.0, 0.0, -8.0, -16.0]","[0.0, 3.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 10.0, 0.0, 6.0, 2.0, 2.0, 4.0, 2.0, 7.0, 4.0, 1.0, 4.0, 8.0, 8.0]",2.064516129,18.25,7 days,7
58,4/15/20,23.22,"[12.0, 10.0]","[2.0, 2.0]",2,11,14 days,14
59,4/13/20,24.354,"[20.0, 19.0, 19.0, 17.0, 17.0, 12.0, 12.0, 12.0, 10.0]","[0.0, 1.0, 0.0, 2.0, 0.0, 5.0, 0.0, 0.0, 2.0]",1.111111111,15.33333333,5 days,5
60,4/15/20,60.879,"[39.0, 30.0, 27.0, 22.0, 17.0, 14.0]","[2.0, 9.0, 3.0, 5.0, 5.0, 3.0]",4.5,24.83333333,10 days,10
