sku_dc_pair_index,complete_tm,order_amount,test_inv,test_demand,ave_demand,ave_inv,vlt
10,3/16/20,48,"[15, 14.0, 13.0, 13.0, 12.0, 10.0, 9.0, 8.0, 54.0, 52.0, 51.0, 51.0, 49.0, 49.0, 48.0, 44.0, 44.0, 44.0, 42.0, 32.0, 30.0]","[1.0, 1.0, 0.0, 1.0, 2.0, 1.0, 1.0, 2.0, 2.0, 1.0, 0.0, 2.0, 0.0, 1.0, 4.0, 0.0, 0.0, 2.0, 10.0, 2.0, 2.0]",1.666666667,32.57142857,7 days
11,3/4/20,34,"[27.0, 27.0, 27.0, 27.0, 27.0, 61.0, 59.0, 50.0, 46.0, 42.0, 40.0, 40.0, 40.0, 38.0, 36.0, 30.0, 27.0, 26.0, 26.0, 24.0, 22.0, 14.0, 10.0, 6.0, 4.0, 4.0, 4.0, 2.0, -2.0, -4.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 9.0, 4.0, 4.0, 2.0, 0.0, 0.0, 2.0, 2.0, 6.0, 3.0, 1.0, 0.0, 2.0, 2.0, 8.0, 4.0, 4.0, 2.0, 0.0, 0.0, 2.0, 4.0, 2.0, 2.0]",2.233333333,26,14 days
12,3/13/20,86,"[0, 0.0, 0.0, 86.0, 86.0, 86.0, 86.0, 86.0, 86.0, 86.0, 86.0, 86.0, 86.0, 86.0, 86.0, 83.0, 80.0, 78.0, 78.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.0, 3.0, 2.0, 0.0, 3.0]",0.578947368,71.10526316,2 days
13,3/3/20,77,"[13.0, 9.0, 9.0, 6.0, 80.0, 78.0, 77.0, 76.0, 73.0, 67.0, 67.0, 61.0, 61.0, 61.0, 58.0, 56.0, 55.0, 52.0, 48.0, 48.0, 47.0, 47.0, 47.0, 47.0, 47.0, 47.0, 47.0, 47.0, 47.0, 47.0]","[4.0, 0.0, 3.0, 3.0, 2.0, 1.0, 1.0, 3.0, 6.0, 0.0, 6.0, 0.0, 0.0, 3.0, 2.0, 1.0, 3.0, 4.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.433333333,50.83333333,6 days
14,2/29/20,88,"[-60.0, 28.0, 27.0, 27.0, 26.0, 26.0, 26.0, 26.0, 26.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 6.0, 6.0, 5.0, 4.0, 4.0, 4.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 19.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 3.0, 0.0, 0.0, 0.0, 0.0]",0.9,8.733333333,17 days
15,3/22/20,34,"[24, 8.0, -1.0, -1.0, -1.0, -1.0, -1.0, 33.0, 33.0, 29.0, 28.0, 27.0, 25.0, 14.0]","[16.0, 9.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.0, 1.0, 1.0, 2.0, 11.0, 1.0]",3.214285714,15.42857143,6 days
16,3/27/20,2,"[0, 0.0, 0.0, 0.0, 0.0, -2.0, -4.0]","[0.0, 0.0, 0.0, 0.0, 4.0, 2.0, 3.0]",1.285714286,-0.857142857,4 days
17,3/7/20,74,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, 69.0, 69.0, 65.0, 61.0, 61.0, 61.0, 61.0, 61.0, 57.0, 53.0, 53.0, 49.0, 45.0, 45.0, 45.0, 37.0, 37.0, 37.0, 29.0, 29.0, 21.0, 21.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.0, 4.0, 0.0, 0.0, 0.0, 0.0, 4.0, 4.0, 0.0, 4.0, 4.0, 0.0, 0.0, 8.0, 0.0, 0.0, 8.0, 0.0, 8.0, 0.0, 4.0]",1.733333333,34.2,18 days
18,3/18/20,82,"[0, 0.0, 0.0, 0.0, 0.0, 0.0, -10.0, -16.0, -24.0, -24.0, -24.0, 57.0, 56.0, 55.0, 51.0, 45.0, 39.0, 38.0, 34.0, 28.0, 22.0, 17.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 6.0, 8.0, 0.0, 0.0, 1.0, 1.0, 1.0, 4.0, 6.0, 6.0, 1.0, 4.0, 6.0, 6.0, 5.0, 4.0]",3.136363636,15.63636364,10 days
19,3/8/20,96,"[0.0, -2.0, -3.0, -3.0, -3.0, -3.0, -3.0, -3.0, -3.0, 93.0, 93.0, 93.0, 93.0, 93.0, 93.0, 93.0, 93.0, 93.0, 89.0, 85.0, 85.0, 81.0, 81.0, 80.0, 80.0, 75.0, 74.0, 74.0, 74.0, 69.0]","[2.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.0, 4.0, 0.0, 4.0, 0.0, 1.0, 0.0, 5.0, 1.0, 0.0, 0.0, 5.0, 1.0]",0.933333333,58.7,9 days
20,3/13/20,117,"[12, 12.0, 12.0, 12.0, 12.0, 12.0, 9.0, 9.0, 9.0, 124.0, 115.0, 112.0, 108.0, 106.0, 97.0, 97.0, 94.0, 86.0, 84.0, 82.0, 80.0, 76.0, 68.0, 65.0, 63.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 3.0, 0.0, 0.0, 2.0, 9.0, 3.0, 4.0, 2.0, 9.0, 0.0, 3.0, 8.0, 2.0, 2.0, 2.0, 4.0, 8.0, 3.0, 2.0, 4.0]",2.8,62.24,8 days
21,3/13/20,74,"[43, 42.0, 36.0, 35.0, 30.0, 22.0, 21.0, 16.0, 13.0, 85.0, 83.0, 83.0, 81.0, 78.0, 76.0, 74.0, 72.0, 72.0, 70.0, 69.0, 63.0, 55.0, 51.0, 46.0, 42.0]","[1.0, 6.0, 1.0, 5.0, 8.0, 1.0, 5.0, 3.0, 2.0, 2.0, 0.0, 2.0, 3.0, 2.0, 2.0, 2.0, 0.0, 2.0, 1.0, 6.0, 8.0, 4.0, 5.0, 4.0, 2.0]",3.08,54.32,8 days
22,3/19/20,85,"[16, 12.0, 12.0, 12.0, 11.0, 5.0, 1.0, -7.0, 77.0, 74.0, 70.0, 66.0, 61.0, 58.0, 53.0, 48.0, 48.0, 43.0]","[4.0, 0.0, 0.0, 1.0, 6.0, 4.0, 8.0, 1.0, 3.0, 4.0, 4.0, 5.0, 3.0, 5.0, 5.0, 0.0, 5.0, 3.0]",3.388888889,36.66666667,7 days
23,2/29/20,91,"[3.0, 94.0, 91.0, 83.0, 83.0, 73.0, 70.0, 58.0, 55.0, 52.0, 52.0, 49.0, 41.0, 38.0, 38.0, 38.0, 35.0, 31.0, 27.0, 23.0, 16.0, 14.0, 10.0, 6.0, 2.0, -5.0, -9.0, -18.0, -28.0, -30.0]","[0.0, 3.0, 8.0, 0.0, 10.0, 3.0, 12.0, 3.0, 3.0, 0.0, 3.0, 8.0, 3.0, 0.0, 0.0, 3.0, 4.0, 4.0, 4.0, 7.0, 2.0, 4.0, 4.0, 4.0, 7.0, 4.0, 9.0, 10.0, 2.0, 4.0]",4.266666667,33.06666667,5 days
24,3/11/20,48,"[10, 2.0, -4.0, -5.0, -10.0, -10.0, -10.0, 38.0, 32.0, 26.0, 26.0, 23.0, 21.0, 21.0, 17.0, 7.0, 5.0, 1.0, -1.0, -1.0, -6.0, -8.0, -14.0, -21.0, -23.0]","[8.0, 6.0, 1.0, 5.0, 0.0, 0.0, 0.0, 6.0, 6.0, 0.0, 3.0, 2.0, 0.0, 4.0, 10.0, 2.0, 4.0, 2.0, 0.0, 5.0, 2.0, 6.0, 7.0, 2.0, 7.0]",3.52,4.64,6 days
25,3/2/20,85,"[51.0, 50.0, 50.0, 128.0, 128.0, 125.0, 122.0, 122.0, 117.0, 101.0, 95.0, 86.0, 81.0, 78.0, 72.0, 72.0, 66.0, 63.0, 61.0, 60.0, 54.0, 46.0, 44.0, 44.0, 42.0, 36.0, 34.0, 22.0, 20.0, 13.0]","[1.0, 0.0, 7.0, 0.0, 3.0, 3.0, 0.0, 5.0, 16.0, 6.0, 9.0, 5.0, 3.0, 6.0, 0.0, 6.0, 3.0, 2.0, 1.0, 6.0, 8.0, 2.0, 0.0, 2.0, 6.0, 2.0, 12.0, 2.0, 7.0, 0.0]",4.1,69.43333333,7 days
26,3/25/20,75,"[14, 9.0, 1.0, -1.0, -4.0, -6.0, -8.0, 65.0, 58.0, 54.0, 45.0]","[5.0, 8.0, 2.0, 3.0, 2.0, 2.0, 2.0, 7.0, 4.0, 9.0, 2.0]",4.181818182,20.63636364,6 days
27,3/2/20,55,"[38.0, 38.0, 35.0, 89.0, 86.0, 86.0, 85.0, 85.0, 83.0, 79.0, 76.0, 74.0, 73.0, 71.0, 69.0, 68.0, 66.0, 66.0, 66.0, 65.0, 64.0, 63.0, 61.0, 61.0, 60.0, 57.0, 57.0, 57.0, 56.0, 55.0]","[0.0, 3.0, 1.0, 3.0, 0.0, 1.0, 0.0, 2.0, 4.0, 3.0, 2.0, 1.0, 2.0, 2.0, 1.0, 2.0, 0.0, 0.0, 1.0, 1.0, 1.0, 2.0, 0.0, 1.0, 3.0, 0.0, 0.0, 1.0, 1.0, 0.0]",1.266666667,66.3,7 days
28,3/21/20,60,"[54, 54.0, 53.0, 50.0, 47.0, 45.0, 99.0, 98.0, 96.0, 93.0, 91.0, 89.0, 88.0, 88.0]","[0.0, 1.0, 3.0, 3.0, 2.0, 6.0, 1.0, 2.0, 3.0, 2.0, 2.0, 1.0, 0.0, 2.0]",2,74.64285714,5 days
29,3/25/20,71,"[4, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 75.0, 75.0, 72.0, 72.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.0, 0.0, 3.0]",0.545454545,29.27272727,6 days
30,3/20/20,61,"[0, 0.0, 0.0, 0.0, 0.0, 0.0, -2.0, -19.0, 29.0, 20.0, 13.0, 8.0, 7.0, 7.0, 5.0, 5.0, 3.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 17.0, 13.0, 9.0, 7.0, 5.0, 1.0, 0.0, 2.0, 0.0, 2.0, 0.0]",3.411764706,4.470588235,7 days
31,3/22/20,51,"[25, 22.0, 22.0, 21.0, 14.0, 64.0, 63.0, 61.0, 61.0, 59.0, 57.0, 57.0]","[3.0, 0.0, 1.0, 7.0, 1.0, 1.0, 2.0, 0.0, 2.0, 2.0, 0.0, 3.0]",1.833333333,43.83333333,4 days
32,3/28/20,57,"[25, 25.0, 24.0, 23.0, 19.0, 19.0, 76.0]","[0.0, 1.0, 1.0, 4.0, 0.0, 0.0, 1.0]",1,30.14285714,5 days
33,3/17/20,122,"[37, 4.0, -1.0, -11.0, -12.0, -15.0, -15.0, -15.0, 104.0, 91.0, 90.0, 90.0, 90.0, 90.0, 89.0, 89.0, 89.0, 89.0, 89.0, 89.0]","[33.0, 5.0, 10.0, 1.0, 3.0, 0.0, 0.0, 3.0, 13.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",3.5,53.05,7 days
34,3/10/20,130,"[-26.0, -30.0, -33.0, -39.0, -43.0, -44.0, -45.0, -50.0, -54.0, -58.0, -58.0, 70.0, 66.0, 66.0, 64.0, 61.0, 60.0, 59.0, 59.0, 56.0, 53.0, 52.0, 51.0, 51.0, 49.0, 45.0, 41.0, 40.0, 40.0, 39.0]","[4.0, 3.0, 6.0, 4.0, 1.0, 1.0, 5.0, 4.0, 4.0, 0.0, 2.0, 4.0, 0.0, 2.0, 3.0, 1.0, 1.0, 0.0, 3.0, 3.0, 1.0, 1.0, 0.0, 2.0, 4.0, 4.0, 1.0, 0.0, 1.0, 3.0]",2.266666667,18.06666667,30 days
35,3/10/20,7,"[0.0, -1.0, -2.0, -2.0, -2.0, -3.0, -3.0, -4.0, -7.0, -7.0, -8.0, -1.0, -1.0, -1.0, -1.0, -3.0, -4.0, -4.0, -5.0, -6.0, -6.0, -7.0, -10.0, -10.0, -10.0, -11.0, -11.0, -12.0, -12.0, -13.0]","[1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 3.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 3.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 2.0]",0.733333333,-5.566666667,30 days
36,3/24/20,43,"[15, 11.0, 9.0, 9.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, -2.0, -4.0, -4.0, -6.0, -8.0, -8.0, 29.0, 27.0, 27.0, 27.0, 24.0]","[4.0, 2.0, 0.0, 8.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 2.0, 0.0, 2.0, 2.0, 0.0, 6.0, 2.0, 0.0, 0.0, 3.0, 0.0]",1.619047619,7.19047619,15 days
37,3/10/20,43,"[4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 1.0, 0.0, -2.0, -14.0, -20.0, 18.0, 14.0, 13.0, 12.0, 9.0, 7.0, 3.0, -2.0, -6.0, -8.0, -10.0, -18.0, -20.0, -20.0, -24.0, -26.0, -28.0, -28.0, -28.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 3.0, 1.0, 2.0, 12.0, 6.0, 5.0, 4.0, 1.0, 1.0, 3.0, 2.0, 4.0, 5.0, 4.0, 2.0, 2.0, 8.0, 2.0, 0.0, 4.0, 2.0, 2.0, 0.0, 0.0, 2.0]",2.566666667,-5.1,15 days
38,3/24/20,55,"[31, 25.0, 16.0, 11.0, 10.0, 9.0, 7.0, 6.0, 6.0, 6.0, 1.0, -2.0, -2.0, -6.0, -12.0, -16.0, 29.0, 18.0, 15.0, 13.0, 5.0]","[6.0, 9.0, 5.0, 1.0, 1.0, 2.0, 1.0, 0.0, 0.0, 5.0, 3.0, 0.0, 4.0, 6.0, 4.0, 10.0, 11.0, 3.0, 2.0, 8.0, 8.0]",4.238095238,8.095238095,15 days
39,3/24/20,12,"[0, 0.0, 0.0, 0.0, 0.0, -1.0, 8.0, 4.0, 4.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 3.0, 4.0, 0.0, 4.0, 0.0, 0.0]",1.090909091,1.363636364,5 days
40,3/29/20,73,"[0, 0.0, 0.0, -3.0, -9.0, -9.0, -11.0, -11.0, -12.0]","[0.0, 0.0, 3.0, 6.0, 0.0, 2.0, 0.0, 1.0, 2.0]",1.555555556,-6.111111111,8 days
41,3/26/20,39,"[0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -13.0, 22.0, 9.0, 4.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 13.0, 4.0, 13.0, 5.0, 3.0]",2,1.157894737,15 days
42,3/11/20,170,"[1.0, 1.0, -3.0, -11.0, -24.0, -24.0, -25.0, -25.0, -25.0, -26.0, -26.0, -26.0, 141.0, 136.0, 135.0, 135.0, 133.0, 132.0, 132.0, 132.0, 132.0, 132.0, 132.0, 131.0, 129.0, 129.0, 120.0, 50.0, 50.0, 50.0]","[0.0, 4.0, 8.0, 13.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 3.0, 5.0, 1.0, 0.0, 2.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 0.0, 9.0, 70.0, 0.0, 0.0, 7.0]",4.266666667,63.93333333,14 days
43,3/5/20,26,"[8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 34.0, 34.0, 34.0, 34.0, 34.0, 34.0, 34.0, 34.0, 34.0, 25.0, 23.0, 22.0, 20.0, 18.0, 10.0, 8.0, 0.0, -7.0, -9.0, -13.0, -13.0, -13.0, -13.0, -13.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.0, 2.0, 1.0, 2.0, 2.0, 8.0, 2.0, 8.0, 7.0, 2.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.566666667,13.3,18 days
44,3/23/20,123,"[1, 1.0, 1.0, 1.0, 1.0, -2.0, -6.0, -14.0, -18.0, -20.0, -24.0, -26.0, -26.0, -26.0, -34.0, -34.0, 89.0, 67.0, 65.0, 65.0, 55.0, 55.0]","[0.0, 0.0, 0.0, 0.0, 3.0, 4.0, 8.0, 4.0, 2.0, 4.0, 2.0, 0.0, 0.0, 8.0, 0.0, 0.0, 22.0, 2.0, 0.0, 10.0, 0.0, 9.0]",3.545454545,7.772727273,15 days
45,3/15/20,58,"[0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 58.0, 58.0, 57.0, 49.0, 46.0, 41.0, 38.0, 31.0, 27.0, 18.0, 16.0, 14.0, 13.0, 7.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 8.0, 3.0, 5.0, 3.0, 7.0, 4.0, 9.0, 2.0, 2.0, 1.0, 6.0, 1.0]",2.476190476,22.52380952,6 days
46,3/2/20,66,"[17.0, 14.0, 10.0, 73.0, 70.0, 65.0, 59.0, 49.0, 45.0, 36.0, 33.0, 27.0, 23.0, 20.0, 18.0, 12.0, 9.0, 7.0, 5.0, 3.0, 0.0, -1.0, -4.0, -8.0, -11.0, -11.0, -36.0, -38.0, -40.0, -46.0]","[3.0, 4.0, 3.0, 3.0, 5.0, 6.0, 10.0, 4.0, 9.0, 3.0, 6.0, 4.0, 3.0, 2.0, 6.0, 3.0, 2.0, 2.0, 2.0, 3.0, 1.0, 3.0, 4.0, 3.0, 0.0, 25.0, 2.0, 2.0, 6.0, 3.0]",4.4,13.33333333,7 days
47,3/17/20,47,"[15.0, 14.0, 12.0, 12.0, 11.0, 11.0, 11.0, 10.0, 10.0, 8.0, 8.0, 8.0, 8.0, 7.0, 7.0, 7.0, 6.0, 6.0, 53.0, 53.0, 53.0, 50.0, 46.0, 46.0, 46.0, 43.0, 42.0, 42.0, 38.0, 37.0]","[1.0, 2.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 2.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 3.0, 4.0, 0.0, 0.0, 3.0, 1.0, 0.0, 4.0, 1.0, 0.0]",0.833333333,24,30 days
48,3/15/20,23,"[0, 0.0, 0.0, -1.0, -3.0, -3.0, -6.0, -6.0, 16.0, 16.0, 16.0, 16.0, 16.0, 15.0, 14.0, 14.0, 14.0, 14.0, 9.0, 7.0, 5.0, 5.0]","[0.0, 0.0, 1.0, 2.0, 0.0, 3.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 5.0, 2.0, 2.0, 0.0, 0.0]",0.818181818,7.181818182,7 days
49,3/10/20,60,"[0, 0.0, 0.0, 0.0, -2.0, -4.0, -8.0, 49.0, 49.0, 49.0, 49.0, 49.0, 49.0, 49.0, 49.0, 49.0, 49.0, 49.0, 49.0, 49.0, 49.0, 48.0, 44.0, 40.0, 36.0, 36.0]","[0.0, 0.0, 0.0, 2.0, 2.0, 4.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 4.0, 4.0, 4.0, 0.0, 0.0]",0.923076923,33.69230769,6 days
50,3/26/20,63,"[65, 65.0, 62.0, 53.0, 53.0, 108.0, 104.0, 104.0]","[0.0, 3.0, 9.0, 0.0, 8.0, 4.0, 0.0, 0.0]",3,76.75,4 days
51,3/10/20,21,"[22, 21.0, 17.0, 16.0, 15.0, 7.0, 7.0, 23.0, 21.0, 20.0, 17.0, 16.0, 14.0, 10.0, 2.0, 2.0, 1.0, 0.0, -1.0, -1.0, -2.0, -3.0, -3.0, -5.0, -24.0, -25.0]","[1.0, 4.0, 1.0, 1.0, 8.0, 0.0, 5.0, 2.0, 1.0, 3.0, 1.0, 2.0, 4.0, 8.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 2.0, 19.0, 1.0, 3.0]",2.730769231,6.423076923,6 days
52,3/23/20,106,"[6, 6.0, 6.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 2.0, -8.0, -36.0, -58.0, -69.0, -71.0, -73.0, 15.0, 11.0, 11.0, 11.0, 11.0, 11.0]","[0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 10.0, 28.0, 22.0, 11.0, 2.0, 2.0, 18.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0]",4.590909091,-9.136363636,15 days
53,3/16/20,96,"[0, 0.0, -2.0, -2.0, -2.0, -2.0, -2.0, -3.0, -5.0, -5.0, -5.0, -5.0, -5.0, 78.0, 28.0, 14.0, 11.0, 7.0, -2.0, -2.0, -6.0, -6.0, -6.0, -6.0, -6.0, -6.0]","[0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 0.0, 0.0, 0.0, 0.0, 13.0, 50.0, 14.0, 3.0, 4.0, 9.0, 0.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",3.961538462,2.307692308,12 days
